variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=40  Seed=39  Result=0.85227418  Average=0.11710522  Best=0.00033138  BestSeed=36  Time=0.4515 Seconds  Run Time=25.0396 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=41  Seed=41  Result=0.85227418  Average=0.13503617  Best=0.00033138  BestSeed=36  Time=0.4545 Seconds  Run Time=25.6165 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=42  Seed=38  Result=0.00066326  Average=0.13183682  Best=0.00033138  BestSeed=36  Time=0.4446 Seconds  Run Time=25.6527 Seconds  TestError=0.00000143
FIRESTARTER_RANDOM: Generation=43  Seed=43  Result=0.85227418  Average=0.14859118  Best=0.00033138  BestSeed=36  Time=0.4469 Seconds  Run Time=26.1973 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=44  Seed=42  Result=0.00408900  Average=0.14530703  Best=0.00033138  BestSeed=36  Time=0.4411 Seconds  Run Time=26.3899 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=45  Seed=45  Result=0.00541484  Average=0.14219832  Best=0.00033138  BestSeed=36  Time=0.4377 Seconds  Run Time=26.6764 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=46  Seed=44  Result=0.00222595  Average=0.13915543  Best=0.00033138  BestSeed=36  Time=0.4398 Seconds  Run Time=27.2108 Seconds  TestError=0.00000030
FIRESTARTER_RANDOM: Generation=47  Seed=46  Result=0.00378454  Average=0.13627522  Best=0.00033138  BestSeed=36  Time=0.4315 Seconds  Run Time=27.2601 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=48  Seed=48  Result=0.00039905  Average=0.13344446  Best=0.00033138  BestSeed=36  Time=0.4344 Seconds  Run Time=27.8325 Seconds  TestError=0.00000107
FIRESTARTER_RANDOM: Generation=49  Seed=47  Result=0.00258038  Average=0.13077375  Best=0.00033138  BestSeed=36  Time=0.4300 Seconds  Run Time=28.0514 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=50  Seed=49  Result=0.85227418  Average=0.14520377  Best=0.00033138  BestSeed=36  Time=0.4272 Seconds  Run Time=28.3384 Seconds  TestError=0.00000009
FIRESTARTER_RANDOM: Generation=51  Seed=50  Result=0.00701195  Average=0.14249411  Best=0.00033138  BestSeed=36  Time=0.4289 Seconds  Run Time=28.8569 Seconds  TestError=0.00004715
FIRESTARTER_RANDOM: Generation=52  Seed=51  Result=0.85227418  Average=0.15614374  Best=0.00033138  BestSeed=36  Time=0.4209 Seconds  Run Time=28.8697 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=53  Seed=53  Result=0.01697117  Average=0.15351784  Best=0.00033138  BestSeed=36  Time=0.4226 Seconds  Run Time=29.3787 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=54  Seed=52  Result=0.00601548  Average=0.15078633  Best=0.00033138  BestSeed=36  Time=0.4204 Seconds  Run Time=29.6829 Seconds  TestError=0.00000572
FIRESTARTER_RANDOM: Generation=55  Seed=55  Result=0.01987146  Average=0.14840606  Best=0.00033138  BestSeed=36  Time=0.4162 Seconds  Run Time=29.8702 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=56  Seed=56  Result=0.00234795  Average=0.14579788  Best=0.00033138  BestSeed=36  Time=0.4187 Seconds  Run Time=30.4283 Seconds  TestError=0.00061151
FIRESTARTER_RANDOM: Generation=57  Seed=54  Result=0.01328838  Average=0.14347316  Best=0.00033138  BestSeed=36  Time=0.4128 Seconds  Run Time=30.5074 Seconds  TestError=0.00003171
FIRESTARTER_RANDOM: Generation=58  Seed=57  Result=0.85227418  Average=0.15569386  Best=0.00033138  BestSeed=36  Time=0.4128 Seconds  Run Time=30.9211 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=59  Seed=58  Result=0.00280774  Average=0.15310256  Best=0.00033138  BestSeed=36  Time=0.4122 Seconds  Run Time=31.3006 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=60  Seed=59  Result=0.85227418  Average=0.16475542  Best=0.00033138  BestSeed=36  Time=0.4070 Seconds  Run Time=31.4019 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=61  Seed=61  Result=0.00079596  Average=0.16206756  Best=0.00033138  BestSeed=36  Time=0.4086 Seconds  Run Time=31.9063 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=62  Seed=60  Result=0.00326514  Average=0.15950625  Best=0.00033138  BestSeed=36  Time=0.4054 Seconds  Run Time=32.1167 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=63  Seed=62  Result=0.00686038  Average=0.15708330  Best=0.00033138  BestSeed=36  Time=0.4046 Seconds  Run Time=32.4687 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=64  Seed=63  Result=0.00492778  Average=0.15470587  Best=0.00033138  BestSeed=36  Time=0.4059 Seconds  Run Time=32.9605 Seconds  TestError=0.00000021
FIRESTARTER_RANDOM: Generation=65  Seed=64  Result=0.00552769  Average=0.15241082  Best=0.00033138  BestSeed=36  Time=0.4002 Seconds  Run Time=32.9963 Seconds  TestError=0.00000033
FIRESTARTER_RANDOM: Generation=66  Seed=66  Result=0.00458103  Average=0.15017098  Best=0.00033138  BestSeed=36  Time=0.4018 Seconds  Run Time=33.5014 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=67  Seed=65  Result=0.00797073  Average=0.14804858  Best=0.00033138  BestSeed=36  Time=0.4005 Seconds  Run Time=33.8116 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=68  Seed=67  Result=0.85227418  Average=0.15840484  Best=0.00033138  BestSeed=36  Time=0.3982 Seconds  Run Time=34.0574 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=69  Seed=69  Result=0.00347289  Average=0.15615946  Best=0.00033138  BestSeed=36  Time=0.4006 Seconds  Run Time=34.6190 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=70  Seed=68  Result=0.00276411  Average=0.15396810  Best=0.00033138  BestSeed=36  Time=0.3951 Seconds  Run Time=34.6351 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=71  Seed=70  Result=0.01144531  Average=0.15196072  Best=0.00033138  BestSeed=36  Time=0.3957 Seconds  Run Time=35.0780 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=72  Seed=71  Result=0.00376463  Average=0.14990245  Best=0.00033138  BestSeed=36  Time=0.3953 Seconds  Run Time=35.4402 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=73  Seed=72  Result=0.00173461  Average=0.14787276  Best=0.00033138  BestSeed=36  Time=0.3913 Seconds  Run Time=35.5427 Seconds  TestError=0.00000525
FIRESTARTER_RANDOM: Generation=74  Seed=74  Result=0.00207555  Average=0.14590251  Best=0.00033138  BestSeed=36  Time=0.3928 Seconds  Run Time=36.0467 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=75  Seed=73  Result=0.00101042  Average=0.14397062  Best=0.00033138  BestSeed=36  Time=0.3905 Seconds  Run Time=36.2675 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=76  Seed=75  Result=0.00095695  Average=0.14208885  Best=0.00033138  BestSeed=36  Time=0.3894 Seconds  Run Time=36.5736 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=77  Seed=76  Result=0.00122213  Average=0.14025941  Best=0.00033138  BestSeed=36  Time=0.3911 Seconds  Run Time=37.0959 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=78  Seed=77  Result=0.00118887  Average=0.13847646  Best=0.00033138  BestSeed=36  Time=0.3871 Seconds  Run Time=37.1747 Seconds  TestError=0.00000009
FIRESTARTER_RANDOM: Generation=79  Seed=79  Result=0.00257116  Average=0.13675614  Best=0.00033138  BestSeed=36  Time=0.3890 Seconds  Run Time=37.7097 Seconds  TestError=0.00000086
FIRESTARTER_RANDOM: Generation=80  Seed=78  Result=0.00214791  Average=0.13507353  Best=0.00033138  BestSeed=36  Time=0.3860 Seconds  Run Time=37.8606 Seconds  TestError=0.00000215
FIRESTARTER_RANDOM: Generation=81  Seed=80  Result=0.00112367  Average=0.13341983  Best=0.00033138  BestSeed=36  Time=0.3866 Seconds  Run Time=38.2971 Seconds  TestError=0.00000119
FIRESTARTER_RANDOM: Generation=82  Seed=81  Result=1.48324537  Average=0.14988111  Best=0.00033138  BestSeed=36  Time=0.3858 Seconds  Run Time=38.6203 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=83  Seed=83  Result=0.00498915  Average=0.14813542  Best=0.00033138  BestSeed=36  Time=0.3842 Seconds  Run Time=38.8685 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=84  Seed=82  Result=0.00041687  Average=0.14637688  Best=0.00033138  BestSeed=36  Time=0.3867 Seconds  Run Time=39.4595 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=85  Seed=84  Result=0.00052655  Average=0.14466098  Best=0.00033138  BestSeed=36  Time=0.3822 Seconds  Run Time=39.4639 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=86  Seed=86  Result=0.00262636  Average=0.14300942  Best=0.00033138  BestSeed=36  Time=0.3833 Seconds  Run Time=39.9422 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=87  Seed=85  Result=0.00632298  Average=0.14143831  Best=0.00033138  BestSeed=36  Time=0.3826 Seconds  Run Time=40.2687 Seconds  TestError=0.00000167
FIRESTARTER_RANDOM: Generation=88  Seed=87  Result=0.00729489  Average=0.13991395  Best=0.00033138  BestSeed=36  Time=0.3813 Seconds  Run Time=40.5342 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=89  Seed=89  Result=0.18637460  Average=0.14043598  Best=0.00033138  BestSeed=36  Time=0.3829 Seconds  Run Time=41.0548 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=90  Seed=88  Result=0.00020361  Average=0.13887785  Best=0.00020361  BestSeed=88  Time=0.3788 Seconds  Run Time=41.1671 Seconds  TestError=0.00000125
FIRESTARTER_RANDOM: Generation=91  Seed=90  Result=0.00076711  Average=0.13736014  Best=0.00020361  BestSeed=88  Time=0.3797 Seconds  Run Time=41.5330 Seconds  TestError=0.00001326
FIRESTARTER_RANDOM: Generation=92  Seed=91  Result=0.00358513  Average=0.13590607  Best=0.00020361  BestSeed=88  Time=0.3789 Seconds  Run Time=41.8420 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=93  Seed=92  Result=0.00090945  Average=0.13445449  Best=0.00020361  BestSeed=88  Time=0.3765 Seconds  Run Time=41.9926 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=94  Seed=95  Result=0.00050867  Average=0.13302954  Best=0.00020361  BestSeed=88  Time=0.3783 Seconds  Run Time=42.5415 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=95  Seed=93  Result=0.00063330  Average=0.13163589  Best=0.00020361  BestSeed=88  Time=0.3751 Seconds  Run Time=42.6184 Seconds  TestError=0.00000060
