CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_RANDOM
evolveSeed = 6
optimizeSeed = 0
tests = 0
streams = 8
units = 1
states = 11000
generations = 0
population = 278528
iterations = 64
passes = 500
precision = 0
candidates = 16
attempts = 0
optimize = 0

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_RANDOM: Seed=        84  Generation=  3  Result=1.82481635  Best=1.82481635  BestError=0.00000000  BestSeed=        84  Time=7.7015 Seconds  Run Time=91.7254 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=1.82481635
FIRESTARTER_RANDOM: Seed=        78  Generation=  0  Result=0.00327027  Best=0.00327027  BestError=0.00000021  BestSeed=        78  Time=9.4394 Seconds  Run Time=91.9905 Seconds  V:0=0.00116575  V:1=0.00161552  V:2=0.00327027
FIRESTARTER_RANDOM: Seed=        86  Generation=  4  Result=2.20769382  Best=2.20769382  BestError=0.00000000  BestSeed=        86  Time=7.7327 Seconds  Run Time=92.0387 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=2.20769382
FIRESTARTER_RANDOM: Seed=        90  Generation=  7  Result=2.20769382  Best=2.20769382  BestError=0.00000000  BestSeed=        90  Time=7.6792 Seconds  Run Time=92.1550 Seconds  V:0=0.97492790  V:1=1.45725727  V:2=2.20769382
FIRESTARTER_RANDOM: Seed=        85  Generation=  1  Result=1.82481635  Best=1.82481635  BestError=0.00000000  BestSeed=        85  Time=7.7638 Seconds  Run Time=92.3264 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=1.82481635
FIRESTARTER_RANDOM: Seed=        87  Generation=  2  Result=1.82481635  Best=1.82481635  BestError=0.00000000  BestSeed=        87  Time=7.9133 Seconds  Run Time=94.0535 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=1.82481635
FIRESTARTER_RANDOM: Seed=        92  Generation=  6  Result=1.82481635  Best=1.82481635  BestError=0.00000000  BestSeed=        92  Time=7.5775 Seconds  Run Time=98.0678 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=1.82481635
FIRESTARTER_RANDOM: Seed=        92  Generation=  5  Result=2.20769382  Best=2.20769382  BestError=0.00000000  BestSeed=        92  Time=7.6263 Seconds  Run Time=98.6018 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=2.20769382
FIRESTARTER_RANDOM: Seed=        91  Generation=  3  Result=2.20769382  Best=2.20769382  BestError=0.00000000  BestSeed=        91  Time=7.6921 Seconds  Run Time=99.3137 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=2.20769382
FIRESTARTER_RANDOM: Seed=        94  Generation=  4  Result=2.17750573  Best=2.17750573  BestError=0.00000000  BestSeed=        94  Time=7.7286 Seconds  Run Time=99.7227 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=2.17750573
FIRESTARTER_RANDOM: Seed=        98  Generation=  7  Result=1.82481635  Best=1.82481635  BestError=0.00000000  BestSeed=        98  Time=7.6832 Seconds  Run Time=99.8819 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=1.82481635
FIRESTARTER_RANDOM: Seed=        93  Generation=  1  Result=1.82481635  Best=1.82481635  BestError=0.00000000  BestSeed=        93  Time=7.7749 Seconds  Run Time=100.2231 Seconds  V:0=0.97492790  V:1=1.45725727  V:2=1.82481635
FIRESTARTER_RANDOM: Seed=        89  Generation=  0  Result=0.01928145  Best=0.01928145  BestError=0.00000021  BestSeed=        89  Time=9.4764 Seconds  Run Time=101.8002 Seconds  V:0=0.01928145  V:1=0.00583589  V:2=0.01546371
FIRESTARTER_RANDOM: Seed=        95  Generation=  2  Result=1.90276933  Best=1.90276933  BestError=0.00000000  BestSeed=        95  Time=7.9387 Seconds  Run Time=102.2715 Seconds  V:0=0.97492790  V:1=1.48324537  V:2=1.90276933
