CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00023317  Best=0.00023317 BestError=0.00022721  Time=   7.2  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00164735  Best=0.00023317 BestError=0.00022721  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00010255  Best=0.00010255 BestError=0.00016545  Time=   7.6  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.07555139  Best=0.00010255 BestError=0.00016545  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  14  Id=   5  Generation=  6  Age=  3  Evolution= 2  Weight=0.00070006  Old Result= 0.00014001  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.1  Run Time=  35.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  10  Id=  10  Generation=  2  Age=  2  Evolution= 1  Weight=0.00064047  Old Result= 0.00064047  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   5.6  Run Time=  35.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  13  Id=   7  Generation=  9  Age=  6  Evolution= 2  Weight=0.00068283  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   1.4  Run Time=  35.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   9  Id=  14  Generation=  4  Age=  4  Evolution= 1  Weight=0.00063972  Old Result= 0.00021324 >New Result=0.00016405  Best=0.00008535 BestError=0.00013423  Time=   2.8  Run Time=  37.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   8  Id=   2  Generation=  7  Age=  7  Evolution= 1  Weight=0.00061530  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.6  Run Time=  37.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   7  Generation= 10  Age=  7  Evolution= 2  Weight=0.00076818  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.5  Run Time=  39.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   7  Id=   2  Generation=  9  Age=  9  Evolution= 1  Weight=0.00082040  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.6  Run Time=  40.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01025192  Best=0.00008535 BestError=0.00013423  Time=   7.3  Run Time=  44.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=  17  Generation=  3  Age=  3  Evolution= 1  Weight=0.00048937  Old Result= 0.00024469 >New Result=0.00009714  Best=0.00008535 BestError=0.00013423  Time=   7.5  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   3  Id=  17  Generation=  4  Age=  4  Evolution= 1  Weight=0.00073406  Old Result= 0.00024469  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   7.6  Run Time=  45.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=  17  Generation=  2  Age=  2  Evolution= 1  Weight=0.00024469  Old Result= 0.00024469 >New Result=0.00014681  Best=0.00008535 BestError=0.00013423  Time=   7.7  Run Time=  45.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   6  Id=  14  Generation=  6  Age=  2  Evolution= 2  Weight=0.00082027  Old Result= 0.00016405 >New Result=0.00011613  Best=0.00008535 BestError=0.00013423  Time=   7.8  Run Time=  45.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   5  Id=   1  Generation=  7  Age=  4  Evolution= 2  Weight=0.00079179  Old Result= 0.00013196  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   8.0  Run Time=  45.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   8  Id=  15  Generation=  6  Age=  6  Evolution= 1  Weight=0.00082656  Old Result= 0.00016531  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.4  Run Time=  47.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  11  Id=   2  Generation= 10  Age= 10  Evolution= 1  Weight=0.00092295  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.5  Run Time=  47.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  15  Id=   5  Generation=  8  Age=  5  Evolution= 2  Weight=0.00098008  Old Result= 0.00014001  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   7.5  Run Time=  47.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  12  Id=   1  Generation=  8  Age=  5  Evolution= 2  Weight=0.00092375  Old Result= 0.00013196  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   7.7  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  14  Id=  17  Generation=  5  Age=  5  Evolution= 1  Weight=0.00097874  Old Result= 0.00024469  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.4  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  10  Id=   7  Generation= 11  Age=  8  Evolution= 2  Weight=0.00085354  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.5  Run Time=  48.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   9  Id=   5  Generation=  7  Age=  4  Evolution= 2  Weight=0.00084007  Old Result= 0.00014001  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.4  Run Time=  48.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  13  Id=   7  Generation= 12  Age=  9  Evolution= 2  Weight=0.00093889  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   3.2  Run Time=  48.9
