variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.03259009  Result=0.03259009  Best=0.03259009  Seed=C0A949E5  ResultHash=6E52  ProgramHash=D10D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.03259009  Result=0.06230843  Best=0.03259009  Seed=C0A949E8  ResultHash=D579  ProgramHash=C90B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.03259009  Result=0.05887806  Best=0.03259009  Seed=C0A949EB  ResultHash=C08B  ProgramHash=0B3F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.03259009  Result=0.06611156  Best=0.03259009  Seed=C0A949EE  ResultHash=CD42  ProgramHash=A622
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.03259009  Result=0.06200457  Best=0.03259009  Seed=C0A949F1  ResultHash=6A71  ProgramHash=BC7C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.03259009  Result=0.08483201  Best=0.03259009  Seed=C0A949F4  ResultHash=5F19  ProgramHash=EDAB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.03259009  Result=0.07788426  Best=0.03259009  Seed=C0A949F7  ResultHash=C367  ProgramHash=B130
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.03259009  Result=0.06405497  Best=0.03259009  Seed=C0A949FA  ResultHash=6DD0  ProgramHash=4939
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.03259009  Result=0.05198157  Best=0.03259009  Seed=C0A949FD  ResultHash=E3BF  ProgramHash=921F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.03259009  Result=0.06549013  Best=0.03259009  Seed=C0A94A00  ResultHash=6B33  ProgramHash=2096
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.03259009  Result=0.06712016  Best=0.03259009  Seed=C0A94A03  ResultHash=032C  ProgramHash=0608
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.03259009  Result=0.06494784  Best=0.03259009  Seed=C0A94A06  ResultHash=95F5  ProgramHash=C630
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.03259009  Result=0.06943253  Best=0.03259009  Seed=C0A94A09  ResultHash=5FD3  ProgramHash=8CA7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.03259009  Result=0.06255446  Best=0.03259009  Seed=C0A94A0C  ResultHash=4104  ProgramHash=5697
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.03259009  Result=0.06205857  Best=0.03259009  Seed=C0A94A0F  ResultHash=D2FD  ProgramHash=B8F3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.03259009  Result=0.05298555  Best=0.03259009  Seed=C0A94A12  ResultHash=1893  ProgramHash=FA68
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.03259009  Result=0.04905653  Best=0.03259009  Seed=C0A94A15  ResultHash=6DB0  ProgramHash=01FB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.03259009  Result=0.04289401  Best=0.03259009  Seed=C0A94A18  ResultHash=9265  ProgramHash=4B66
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.03259009  Result=0.05388081  Best=0.03259009  Seed=C0A94A1B  ResultHash=7F0F  ProgramHash=D673
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.03259009  Result=0.04349720  Best=0.03259009  Seed=C0A94A1E  ResultHash=3F3D  ProgramHash=390E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.03157204  Result=0.03157204  Best=0.03157204  Seed=C0A94A21  ResultHash=D1E3  ProgramHash=390E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.03157204  Result=0.05391078  Best=0.03157204  Seed=C0A94A24  ResultHash=4DD3  ProgramHash=94F0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.03157204  Result=0.05085512  Best=0.03157204  Seed=C0A94A27  ResultHash=D2C9  ProgramHash=44B7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.03157204  Result=0.04334521  Best=0.03157204  Seed=C0A94A2A  ResultHash=3C4F  ProgramHash=44B7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.03157204  Result=0.04295133  Best=0.03157204  Seed=C0A94A2D  ResultHash=9D0A  ProgramHash=96F9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.03157204  Result=0.04482126  Best=0.03157204  Seed=C0A94A30  ResultHash=255B  ProgramHash=F4FB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.03157204  Result=0.03778082  Best=0.03157204  Seed=C0A94A33  ResultHash=C0B5  ProgramHash=F4FB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.03157204  Result=0.05676186  Best=0.03157204  Seed=C0A94A36  ResultHash=D73E  ProgramHash=DD04
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.03157204  Result=0.05124152  Best=0.03157204  Seed=C0A94A39  ResultHash=4DBA  ProgramHash=1638
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.03157204  Result=0.04743934  Best=0.03157204  Seed=C0A94A3C  ResultHash=1C1C  ProgramHash=60BC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.03157204  Result=0.04738593  Best=0.03157204  Seed=C0A94A3F  ResultHash=A85B  ProgramHash=BCD9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.03157204  Result=0.05769522  Best=0.03157204  Seed=C0A94A42  ResultHash=B515  ProgramHash=1030
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.03157204  Result=0.05656242  Best=0.03157204  Seed=C0A94A45  ResultHash=8102  ProgramHash=A020
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.03157204  Result=0.05479038  Best=0.03157204  Seed=C0A94A48  ResultHash=D7F2  ProgramHash=168C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.03157204  Result=0.05180156  Best=0.03157204  Seed=C0A94A4B  ResultHash=3C76  ProgramHash=000F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.03157204  Result=0.05723798  Best=0.03157204  Seed=C0A94A4E  ResultHash=0F8C  ProgramHash=E33A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.03157204  Result=0.05031211  Best=0.03157204  Seed=C0A94A51  ResultHash=8E66  ProgramHash=E5A2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.03157204  Result=0.04007447  Best=0.03157204  Seed=C0A94A54  ResultHash=715E  ProgramHash=B103
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.03157204  Result=0.05246687  Best=0.03157204  Seed=C0A94A57  ResultHash=94AE  ProgramHash=C3B3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  79  Best=0.03157204  Result=0.04428816  Best=0.03157204  Seed=C0A94A5A  ResultHash=9F45  ProgramHash=9342
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  80  Best=0.03157204  Result=0.05307829  Best=0.03157204  Seed=C0A94A5D  ResultHash=E78C  ProgramHash=60A4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  81  Best=0.03157204  Result=0.05208337  Best=0.03157204  Seed=C0A94A60  ResultHash=0C96  ProgramHash=C363
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  82  Best=0.03157204  Result=0.06008965  Best=0.03157204  Seed=C0A94A63  ResultHash=46C3  ProgramHash=9944
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  83  Best=0.03157204  Result=0.05830634  Best=0.03157204  Seed=C0A94A66  ResultHash=EF19  ProgramHash=1C92
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  84  Best=0.03157204  Result=0.04158093  Best=0.03157204  Seed=C0A94A69  ResultHash=E41D  ProgramHash=6C65
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  85  Best=0.03157204  Result=0.04390674  Best=0.03157204  Seed=C0A94A6C  ResultHash=C6DA  ProgramHash=BE54
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  86  Best=0.03157204  Result=0.05197657  Best=0.03157204  Seed=C0A94A6F  ResultHash=BE58  ProgramHash=A500
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  87  Best=0.03157204  Result=0.05256501  Best=0.03157204  Seed=C0A94A72  ResultHash=9648  ProgramHash=B5F5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  88  Best=0.03157204  Result=0.04782104  Best=0.03157204  Seed=C0A94A75  ResultHash=A906  ProgramHash=11B7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  89  Best=0.03157204  Result=0.04864923  Best=0.03157204  Seed=C0A94A78  ResultHash=1BFF  ProgramHash=1EA6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  90  Best=0.03157204  Result=0.03917383  Best=0.03157204  Seed=C0A94A7B  ResultHash=699B  ProgramHash=5ED4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  91  Best=0.03157204  Result=0.04339576  Best=0.03157204  Seed=C0A94A7E  ResultHash=2A38  ProgramHash=7D7E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00335479  Result=0.00335479  Best=0.00335479  Seed=C0A949CE  ResultHash=E2A4  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00078213  Result=0.00078213  Best=0.00078213  Seed=C0A94A32  ResultHash=1E26  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00061262  Result=0.00061262  Best=0.00061262  Seed=C0A94A96  ResultHash=AAB4  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00060141  Result=0.00060141  Best=0.00060141  Seed=C0A94AFA  ResultHash=9876  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00059843  Result=0.00059843  Best=0.00059843  Seed=C0A94B5E  ResultHash=8840  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00059807  Result=0.00059807  Best=0.00059807  Seed=C0A94BC2  ResultHash=6160  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00059485  Result=0.00059485  Best=0.00059485  Seed=C0A94C26  ResultHash=9A54  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00059360  Result=0.00059360  Best=0.00059360  Seed=C0A94C8A  ResultHash=FDB0  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00057614  Result=0.00057614  Best=0.00057614  Seed=C0A94CEE  ResultHash=319B  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00057191  Result=0.00057191  Best=0.00057191  Seed=C0A94D52  ResultHash=F9BA  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00057137  Result=0.00057137  Best=0.00057137  Seed=C0A94DB6  ResultHash=6BAA  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00049090  Result=0.00049090  Best=0.00049090  Seed=C0A94E1A  ResultHash=5CF2  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00045133  Result=0.00045133  Best=0.00045133  Seed=C0A94E7E  ResultHash=5FA5  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00044733  Result=0.00044733  Best=0.00044733  Seed=C0A94EE2  ResultHash=81EE  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00042558  Result=0.00042558  Best=0.00042558  Seed=C0A94F46  ResultHash=F7E3  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00041616  Result=0.00041616  Best=0.00041616  Seed=C0A94FAA  ResultHash=03E0  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00041616  Result=0.00042248  Best=0.00041616  Seed=C0A9500E  ResultHash=CF46  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00041616  Result=0.00041878  Best=0.00041616  Seed=C0A95072  ResultHash=B8FB  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00041616  Result=0.00042009  Best=0.00041616  Seed=C0A950D6  ResultHash=F1B7  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00041616  Result=0.00041711  Best=0.00041616  Seed=C0A9513A  ResultHash=A024  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00041616  Result=0.00041795  Best=0.00041616  Seed=C0A9519E  ResultHash=C13C  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00041616  Result=0.00041902  Best=0.00041616  Seed=C0A95202  ResultHash=E58F  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00041616  Result=0.00043213  Best=0.00041616  Seed=C0A95266  ResultHash=B6FE  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00041616  Result=0.00043166  Best=0.00041616  Seed=C0A952CA  ResultHash=27CE  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00041616  Result=0.00043166  Best=0.00041616  Seed=C0A9532E  ResultHash=0AD9  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00041616  Result=0.00043118  Best=0.00041616  Seed=C0A95392  ResultHash=6531  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00041616  Result=0.00042188  Best=0.00041616  Seed=C0A953F6  ResultHash=D700  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.00041616  Result=0.00042009  Best=0.00041616  Seed=C0A9545A  ResultHash=E8B9  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00041616  Result=0.00041986  Best=0.00041616  Seed=C0A954BE  ResultHash=64DE  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00041616  Result=0.00041956  Best=0.00041616  Seed=C0A95522  ResultHash=CAB3  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00041616  Result=0.00041878  Best=0.00041616  Seed=C0A95586  ResultHash=FD16  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00041616  Result=0.00041890  Best=0.00041616  Seed=C0A955EA  ResultHash=F679  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00041616  Result=0.00041902  Best=0.00041616  Seed=C0A9564E  ResultHash=8DAE  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00041616  Result=0.00041950  Best=0.00041616  Seed=C0A956B2  ResultHash=0760  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00041616  Result=0.00041902  Best=0.00041616  Seed=C0A95716  ResultHash=E44A  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00041616  Result=0.00041938  Best=0.00041616  Seed=C0A9577A  ResultHash=ED87  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00041616  Result=0.00041962  Best=0.00041616  Seed=C0A957DE  ResultHash=0B35  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00041616  Result=0.00041926  Best=0.00041616  Seed=C0A95842  ResultHash=EB5B  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00041616  Result=0.00041974  Best=0.00041616  Seed=C0A958A6  ResultHash=0AE9  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00041616  Result=0.00041926  Best=0.00041616  Seed=C0A9590A  ResultHash=E8D8  ProgramHash=390E
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00041616  Result=0.00041920  Best=0.00041616  Seed=C0A9596E  ResultHash=9AE8  ProgramHash=390E
