CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Generation=50  Age=25  Result=0.00122794  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3615 Seconds  Run Time=21.9572 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=51  Age=26  Result=0.00100076  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.4425 Seconds  Run Time=22.3997 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=52  Age=27  Result=0.00165311  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3558 Seconds  Run Time=22.7556 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=53  Age=28  Result=0.00082955  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3532 Seconds  Run Time=23.1088 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=54  Age=29  Result=0.00115967  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3522 Seconds  Run Time=23.4610 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=55  Age=30  Result=0.00116765  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3593 Seconds  Run Time=23.8203 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=56  Age=31  Result=0.00126354  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3484 Seconds  Run Time=24.1687 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=57  Age=32  Result=0.00079960  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3542 Seconds  Run Time=24.5229 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=0  Age=0 *Result=0.00075537  Best=0.00075537  BestSeed=1  BestGen=0  Time=0.5487 Seconds  Run Time=25.0716 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=1  Generation=1  Age=0 *Result=0.00051963  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.5405 Seconds  Run Time=25.6121 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=2  Age=1  Result=0.00072283  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.2646 Seconds  Run Time=25.8767 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=3  Age=2  Result=0.00163084  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3582 Seconds  Run Time=26.2348 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=4  Age=3  Result=0.00057985  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3537 Seconds  Run Time=26.5885 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=5  Age=4  Result=0.00104393  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3706 Seconds  Run Time=26.9591 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=6  Age=5  Result=0.00115126  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3602 Seconds  Run Time=27.3193 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=7  Age=6  Result=0.00316975  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3515 Seconds  Run Time=27.6708 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=8  Age=7  Result=0.00091255  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3573 Seconds  Run Time=28.0281 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=9  Age=8  Result=0.00073457  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3536 Seconds  Run Time=28.3818 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=10  Age=9  Result=0.00404644  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3564 Seconds  Run Time=28.7381 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=11  Age=10  Result=0.00067209  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3547 Seconds  Run Time=29.0928 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=12  Age=11  Result=0.00996697  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3561 Seconds  Run Time=29.4490 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=13  Age=12  Result=0.00086983  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3559 Seconds  Run Time=29.8048 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=14  Age=13  Result=0.00102478  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3561 Seconds  Run Time=30.1609 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=15  Age=14  Result=0.00061721  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.4474 Seconds  Run Time=30.6083 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=16  Age=15  Result=0.00061774  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3561 Seconds  Run Time=30.9643 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=17  Age=16  Result=0.00109458  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3484 Seconds  Run Time=31.3127 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=18  Age=17  Result=0.00107193  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.4444 Seconds  Run Time=31.7571 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=19  Age=18  Result=0.00102496  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3620 Seconds  Run Time=32.1191 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=20  Age=19  Result=0.00073385  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.2609 Seconds  Run Time=32.3800 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=21  Age=20  Result=0.00339431  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3556 Seconds  Run Time=32.7356 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=22  Age=21  Result=0.00078249  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3524 Seconds  Run Time=33.0880 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=23  Age=22  Result=0.00060774  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3505 Seconds  Run Time=33.4386 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=24  Age=23  Result=0.00308919  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3604 Seconds  Run Time=33.7989 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=25  Age=24  Result=0.00082600  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.4500 Seconds  Run Time=34.2490 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=26  Age=25  Result=0.00489473  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3539 Seconds  Run Time=34.6028 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=27  Age=26  Result=0.00136622  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.4523 Seconds  Run Time=35.0551 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=28  Age=27  Result=0.00063121  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3537 Seconds  Run Time=35.4088 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=29  Age=28  Result=0.00261104  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3509 Seconds  Run Time=35.7597 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=30  Age=29  Result=0.00418699  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3490 Seconds  Run Time=36.1087 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=31  Age=30  Result=0.00092134  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3497 Seconds  Run Time=36.4584 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=32  Age=31  Result=0.00085818  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3508 Seconds  Run Time=36.8092 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=1  Generation=33  Age=32  Result=0.00089967  Best=0.00051963  BestSeed=1  BestGen=1  Time=0.3485 Seconds  Run Time=37.1577 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=0  Age=0 *Result=0.05181968  Best=0.05181968  BestSeed=2  BestGen=0  Time=0.5597 Seconds  Run Time=37.7174 Seconds  TestError=0.00000149
FIRESTARTER_REVOLVE: Seed=2  Generation=1  Age=0 *Result=0.00309908  Best=0.00309908  BestSeed=2  BestGen=1  Time=0.5419 Seconds  Run Time=38.2592 Seconds  TestError=0.00000060
FIRESTARTER_REVOLVE: Seed=2  Generation=2  Age=0 *Result=0.00180733  Best=0.00180733  BestSeed=2  BestGen=2  Time=0.5343 Seconds  Run Time=38.7935 Seconds  TestError=0.00000155
FIRESTARTER_REVOLVE: Seed=2  Generation=3  Age=0 *Result=0.00093344  Best=0.00093344  BestSeed=2  BestGen=3  Time=0.5395 Seconds  Run Time=39.3330 Seconds  TestError=0.00000089
FIRESTARTER_REVOLVE: Seed=2  Generation=4  Age=0 *Result=0.00078821  Best=0.00078821  BestSeed=2  BestGen=4  Time=0.5380 Seconds  Run Time=39.8710 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=5  Age=1  Result=0.00772280  Best=0.00078821  BestSeed=2  BestGen=4  Time=0.3561 Seconds  Run Time=40.2271 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=6  Age=2  Result=0.00082210  Best=0.00078821  BestSeed=2  BestGen=4  Time=0.3489 Seconds  Run Time=40.5760 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=7  Age=3  Result=0.00088111  Best=0.00078821  BestSeed=2  BestGen=4  Time=0.3527 Seconds  Run Time=40.9287 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=8  Age=0 *Result=0.00071597  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.5410 Seconds  Run Time=41.4696 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=9  Age=1  Result=0.00115597  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3537 Seconds  Run Time=41.8233 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=10  Age=2  Result=0.04748991  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3533 Seconds  Run Time=42.1767 Seconds  TestError=0.00000012
