instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00143251  Result=0.00148404  Best=0.00143251  Seed=C0A94F46  ResultHash=609C  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00143251  Result=0.00144067  Best=0.00143251  Seed=C0A94FAA  ResultHash=C007  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00143251  Result=0.00153199  Best=0.00143251  Seed=C0A9500E  ResultHash=8845  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00143251  Result=0.00148430  Best=0.00143251  Seed=C0A95072  ResultHash=83BB  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00143251  Result=0.00143921  Best=0.00143251  Seed=C0A950D6  ResultHash=D771  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00142220  Result=0.00142220  Best=0.00142220  Seed=C0A9513A  ResultHash=D11F  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00139295  Result=0.00139295  Best=0.00139295  Seed=C0A9519E  ResultHash=A1B1  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00134602  Result=0.00134602  Best=0.00134602  Seed=C0A95202  ResultHash=28FC  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00134602  Result=0.00141084  Best=0.00134602  Seed=C0A95266  ResultHash=1D6C  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00134602  Result=0.00137562  Best=0.00134602  Seed=C0A952CA  ResultHash=1635  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00134602  Result=0.00138382  Best=0.00134602  Seed=C0A9532E  ResultHash=53D2  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00134602  Result=0.00136021  Best=0.00134602  Seed=C0A95392  ResultHash=FC83  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00134602  Result=0.00135535  Best=0.00134602  Seed=C0A953F6  ResultHash=B346  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.00128730  Result=0.00128730  Best=0.00128730  Seed=C0A9545A  ResultHash=4A67  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00128730  Result=0.00133681  Best=0.00128730  Seed=C0A954BE  ResultHash=EC27  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00128730  Result=0.00132656  Best=0.00128730  Seed=C0A95522  ResultHash=FD06  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00128730  Result=0.00132722  Best=0.00128730  Seed=C0A95586  ResultHash=EA50  ProgramHash=F3B8
