instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00053030  Result=0.00087884  Best=0.00053030  Seed=C0A9590A  ResultHash=225E  ProgramHash=FC0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00053030  Result=0.00103313  Best=0.00053030  Seed=C0A9596E  ResultHash=5691  ProgramHash=FC0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00053030  Result=0.00134337  Best=0.00053030  Seed=C0A959D2  ResultHash=BCF7  ProgramHash=B035
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00053030  Result=0.00143638  Best=0.00053030  Seed=C0A95A36  ResultHash=AABC  ProgramHash=FC0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00053030  Result=0.00057879  Best=0.00053030  Seed=C0A95A9A  ResultHash=9424  ProgramHash=FC0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00053030  Result=0.00069475  Best=0.00053030  Seed=C0A95AFE  ResultHash=0B82  ProgramHash=FC0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00053030  Result=0.00062382  Best=0.00053030  Seed=C0A95B62  ResultHash=DEB6  ProgramHash=EC5E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00053030  Result=0.00132148  Best=0.00053030  Seed=C0A95BC6  ResultHash=4C0B  ProgramHash=0699
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00053030  Result=0.00075698  Best=0.00053030  Seed=C0A95C2A  ResultHash=E763  ProgramHash=0699
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00053030  Result=0.00115663  Best=0.00053030  Seed=C0A95C8E  ResultHash=76E9  ProgramHash=0699
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00053030  Result=0.00145555  Best=0.00053030  Seed=C0A95CF2  ResultHash=5DDA  ProgramHash=2823
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00033683  Result=0.00033683  Best=0.00033683  Seed=C0A949CE  ResultHash=6E85  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00026256  Result=0.00026256  Best=0.00026256  Seed=C0A94A32  ResultHash=A2C0  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00021850  Result=0.00021850  Best=0.00021850  Seed=C0A94A96  ResultHash=C580  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00018385  Result=0.00018385  Best=0.00018385  Seed=C0A94AFA  ResultHash=9B69  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00013012  Result=0.00013012  Best=0.00013012  Seed=C0A94B5E  ResultHash=0B32  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00012136  Result=0.00012136  Best=0.00012136  Seed=C0A94BC2  ResultHash=88F0  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00012136  Result=0.00012136  Best=0.00012136  Seed=C0A94C26  ResultHash=730D  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00010103  Result=0.00010103  Best=0.00010103  Seed=C0A94C8A  ResultHash=A3BC  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00008024  Result=0.00008024  Best=0.00008024  Seed=C0A94CEE  ResultHash=B68A  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00008024  Result=0.00008035  Best=0.00008024  Seed=C0A94D52  ResultHash=9274  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00007945  Result=0.00007945  Best=0.00007945  Seed=C0A94DB6  ResultHash=5A50  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00007904  Result=0.00007904  Best=0.00007904  Seed=C0A94E1A  ResultHash=5214  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00007904  Result=0.00007915  Best=0.00007904  Seed=C0A94E7E  ResultHash=96E7  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00007749  Result=0.00007749  Best=0.00007749  Seed=C0A94EE2  ResultHash=3DB9  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00007749  Result=0.00007856  Best=0.00007749  Seed=C0A94F46  ResultHash=7F94  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00007749  Result=0.00007892  Best=0.00007749  Seed=C0A94FAA  ResultHash=7209  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00007629  Result=0.00007629  Best=0.00007629  Seed=C0A9500E  ResultHash=B7EF  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00007629  Result=0.00007784  Best=0.00007629  Seed=C0A95072  ResultHash=9E9D  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00007629  Result=0.00007749  Best=0.00007629  Seed=C0A950D6  ResultHash=D7E4  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00007629  Result=0.00007761  Best=0.00007629  Seed=C0A9513A  ResultHash=EDED  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00007629  Result=0.00007641  Best=0.00007629  Seed=C0A9519E  ResultHash=BCBD  ProgramHash=CDF5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00007606  Result=0.00007606  Best=0.00007606  Seed=C0A95202  ResultHash=723D  ProgramHash=CDF5
