CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
instructions = 32
registers = 30
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_NEW
evolveSeed = 0
optimizeSeed = 0
tests = 256
streams = 1
units = 1
states = 1
generations = 100
population = 65536
passes = 1
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 68  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=8  Time=0.1  Run Time=5.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 69  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=9  Time=0.1  Run Time=5.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 70  Old Result=0.67720401 *New Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=0  Time=0.1  Run Time=5.5
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 71  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=1  Time=0.1  Run Time=5.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 72  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=2  Time=0.1  Run Time=5.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 73  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=3  Time=0.1  Run Time=5.7
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 74  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=4  Time=0.1  Run Time=5.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 75  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=5  Time=0.1  Run Time=5.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 76  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=6  Time=0.1  Run Time=5.9
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 77  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=7  Time=0.1  Run Time=6.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 78  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=8  Time=0.1  Run Time=6.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 79  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=9  Time=0.1  Run Time=6.1
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 80  Old Result=0.67720383  Bad Result=0.67720383  MinIndex=36589  EvolveAge=4  Best=0.67720383   BestAge=10  Time=0.1  Run Time=6.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 81  Old Result=0.67720383 *New Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=0  Time=0.1  Run Time=6.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 82  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=1  Time=0.1  Run Time=6.3
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 83  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=2  Time=0.1  Run Time=6.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 84  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=3  Time=0.1  Run Time=6.4
