instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 128;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.01801275  Result=0.01801275  Best=0.01801275  Seed=C0A949FD  ResultHash=76DD  ProgramHash=3D23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.01743484  Result=0.01743484  Best=0.01743484  Seed=C0A94A00  ResultHash=88F3  ProgramHash=C640
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.01743484  Result=0.01743514  Best=0.01743484  Seed=C0A94A03  ResultHash=34A7  ProgramHash=C152
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.01743484  Result=0.01743514  Best=0.01743484  Seed=C0A94A06  ResultHash=AB46  ProgramHash=7212
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.01743484  Result=0.01743514  Best=0.01743484  Seed=C0A94A09  ResultHash=1ACC  ProgramHash=EEFF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.01722181  Result=0.01722181  Best=0.01722181  Seed=C0A94A0C  ResultHash=2243  ProgramHash=CEFC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A0F  ResultHash=4E6D  ProgramHash=3B72
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A12  ResultHash=7CB0  ProgramHash=A6E2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A15  ResultHash=6D3E  ProgramHash=95F1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A18  ResultHash=7033  ProgramHash=B7BE
