variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 69632;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Seed=63  Generation=63  Age=9  Best=0.00000113  BestSeed=54  Time=0.0141 Seconds  Run Time=59.5754 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=64  Generation=64  Age=10  Best=0.00000113  BestSeed=54  Time=0.0140 Seconds  Run Time=60.4864 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=65  Generation=65  Age=11  Best=0.00000113  BestSeed=54  Time=0.0137 Seconds  Run Time=61.3919 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=66  Generation=66  Age=0  Best=0.00000107  BestSeed=66  Time=0.0135 Seconds  Run Time=62.3060 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=67  Generation=67  Age=1  Best=0.00000107  BestSeed=66  Time=0.0133 Seconds  Run Time=63.2144 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=68  Generation=68  Age=2  Best=0.00000107  BestSeed=66  Time=0.0132 Seconds  Run Time=64.1238 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=69  Generation=69  Age=3  Best=0.00000107  BestSeed=66  Time=0.0129 Seconds  Run Time=65.0312 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=70  Generation=70  Age=4  Best=0.00000107  BestSeed=66  Time=0.0128 Seconds  Run Time=65.9430 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=71  Generation=71  Age=5  Best=0.00000107  BestSeed=66  Time=0.0126 Seconds  Run Time=66.8514 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=72  Generation=72  Age=6  Best=0.00000107  BestSeed=66  Time=0.0124 Seconds  Run Time=67.7598 Seconds  TestError=0.00000012
