variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.01106930  Result=0.01106930  Seed=C0A94993  Best Result=01429  Best Index=01429  Best Seed=-1062647406  ResultHash=BE2F  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.01084477  Result=0.01084477  Seed=C0A94994  Best Result=06442  Best Index=06442  Best Seed=-1062647405  ResultHash=42F2  ProgramHash=9F6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.01049948  Result=0.01049948  Seed=C0A94995  Best Result=15625  Best Index=15625  Best Seed=-1062647404  ResultHash=0CB8  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.01049948  Result=0.01049948  Seed=C0A94996  Best Result=01797  Best Index=15625  Best Seed=-1062647403  ResultHash=7536  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.01049948  Result=0.01049948  Seed=C0A94997  Best Result=00126  Best Index=15625  Best Seed=-1062647402  ResultHash=4498  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.01021457  Result=0.01021457  Seed=C0A94998  Best Result=10736  Best Index=10736  Best Seed=-1062647401  ResultHash=0BB9  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01021457  Result=0.01021457  Seed=C0A94999  Best Result=00843  Best Index=10736  Best Seed=-1062647400  ResultHash=718D  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.01021457  Result=0.01021457  Seed=C0A9499A  Best Result=00044  Best Index=16448  Best Seed=-1062647399  ResultHash=37D6  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00999856  Result=0.00999856  Seed=C0A9499B  Best Result=06200  Best Index=06200  Best Seed=-1062647398  ResultHash=DE70  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00973237  Result=0.00973237  Seed=C0A9499C  Best Result=03077  Best Index=03077  Best Seed=-1062647397  ResultHash=D32E  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00972238  Result=0.00972238  Seed=C0A9499D  Best Result=04661  Best Index=04661  Best Seed=-1062647396  ResultHash=385B  ProgramHash=3FC0
