variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_EVOLVE;
units = 10;
processes = 16;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0339 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5459 Seconds  TestError=0.00000310
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5462 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5465 Seconds  TestError=0.00000048
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5468 Seconds  TestError=0.00000048
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5470 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5473 Seconds  TestError=0.00000054
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5476 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5478 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5481 Seconds  TestError=0.00000011
FIRESTARTER_EVOLVE: Seed=5  Generation=5  Age=4  Best=0.00024478  BestSeed=3  Time=0.2515 Seconds  Run Time=30.5484 Seconds  TestError=0.00000048
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2480 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2483 Seconds  TestError=0.00000013
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2486 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2488 Seconds  TestError=0.00000131
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2491 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2493 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2496 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2499 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2501 Seconds  TestError=0.00000003
FIRESTARTER_EVOLVE: Seed=6  Generation=6  Age=5  Best=0.00024478  BestSeed=3  Time=0.2702 Seconds  Run Time=33.2504 Seconds  TestError=0.00000048
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2300 Seconds  TestError=0.00000042
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2302 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2305 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2308 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2310 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2313 Seconds  TestError=0.00000011
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2315 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2318 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2321 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=7  Generation=7  Age=6  Best=0.00024478  BestSeed=3  Time=0.2982 Seconds  Run Time=36.2323 Seconds  TestError=0.00000022
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3865 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3868 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3871 Seconds  TestError=0.00000048
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3874 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3876 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3879 Seconds  TestError=0.00000001
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3882 Seconds  TestError=0.00000054
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3885 Seconds  TestError=0.00000072
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3888 Seconds  TestError=0.00000072
FIRESTARTER_EVOLVE: Seed=8  Generation=8  Age=7  Best=0.00024478  BestSeed=3  Time=0.3157 Seconds  Run Time=39.3891 Seconds  TestError=0.00000095
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5232 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5235 Seconds  TestError=0.00000083
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5237 Seconds  TestError=0.00000009
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5240 Seconds  TestError=0.00000000
