CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.85227418  Best=0.85227418 BestError=0.78000921  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00110316  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00210881  Best=0.00110316 BestError=0.00146174  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=  17  Generation=  6  Age=  6  Evolution= 1  Weight=0.00070795  Old Result= 0.00014159 >New Result=0.00011790  Best=0.00001577 BestError=0.00002256  Time=   6.9  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  14  Id=  11  Generation= 17  Age= 14  Evolution= 2  Weight=0.00114583  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   1.4  Run Time=  49.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   9  Id=  11  Generation= 15  Age= 12  Evolution= 2  Weight=0.00100260  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   1.5  Run Time=  49.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  13  Id=  17  Generation=  9  Age=  9  Evolution= 1  Weight=0.00113273  Old Result= 0.00014159  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   3.5  Run Time=  51.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   8  Id=  17  Generation=  8  Age=  8  Evolution= 1  Weight=0.00099114  Old Result= 0.00014159 >New Result=0.00012211  Best=0.00001577 BestError=0.00002256  Time=   3.5  Run Time=  51.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  10  Id=   2  Generation=  8  Age=  3  Evolution= 2  Weight=0.00105492  Old Result= 0.00015070  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   3.5  Run Time=  51.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=  17  Generation= 14  Age=  4  Evolution= 2  Weight=0.00020501  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.5  Run Time=  54.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   4  Id=  17  Generation= 15  Age=  5  Evolution= 2  Weight=0.00022078  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.6  Run Time=  54.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=  17  Generation= 16  Age=  6  Evolution= 2  Weight=0.00023655  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.6  Run Time=  54.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   1  Id=  17  Generation= 12  Age=  2  Evolution= 2  Weight=0.00017347  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.6  Run Time=  54.7
