instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.20573686  Result=0.20573686  Best=0.20573686  Seed=C0A9496E  ResultHash=9661  ProgramHash=0411
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  58  Best=0.04410881  Result=0.07153162  Best=0.04410881  Seed=C0A94A56  ResultHash=3F94  ProgramHash=319B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  59  Best=0.04410881  Result=0.06190938  Best=0.04410881  Seed=C0A94A5A  ResultHash=1F4E  ProgramHash=E6C7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  60  Best=0.04410881  Result=0.05742037  Best=0.04410881  Seed=C0A94A5E  ResultHash=8EB0  ProgramHash=F1C6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  61  Best=0.04410881  Result=0.06152159  Best=0.04410881  Seed=C0A94A62  ResultHash=4A06  ProgramHash=8CC4
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.01264548  Result=0.01264548  Best=0.01264548  Seed=C0A949CE  ResultHash=B248  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00422149  Result=0.00422149  Best=0.00422149  Seed=C0A94A32  ResultHash=9203  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00408995  Result=0.00408995  Best=0.00408995  Seed=C0A94A96  ResultHash=0CF1  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00406075  Result=0.00406075  Best=0.00406075  Seed=C0A94AFA  ResultHash=1284  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00406075  Result=0.00408018  Best=0.00406075  Seed=C0A94B5E  ResultHash=1C6E  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00402579  Result=0.00402579  Best=0.00402579  Seed=C0A94BC2  ResultHash=DC73  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00402579  Result=0.00407946  Best=0.00402579  Seed=C0A94C26  ResultHash=125C  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00401302  Result=0.00401302  Best=0.00401302  Seed=C0A94C8A  ResultHash=85AD  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00399683  Result=0.00399683  Best=0.00399683  Seed=C0A94CEE  ResultHash=AEE9  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00399683  Result=0.00400719  Best=0.00399683  Seed=C0A94D52  ResultHash=7F6E  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00397189  Result=0.00397189  Best=0.00397189  Seed=C0A94DB6  ResultHash=D391  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00397189  Result=0.00399321  Best=0.00397189  Seed=C0A94E1A  ResultHash=1467  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00397189  Result=0.00397801  Best=0.00397189  Seed=C0A94E7E  ResultHash=81E2  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00394819  Result=0.00394819  Best=0.00394819  Seed=C0A94EE2  ResultHash=3F3D  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00394819  Result=0.00401151  Best=0.00394819  Seed=C0A94F46  ResultHash=2C1E  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00394819  Result=0.00402105  Best=0.00394819  Seed=C0A94FAA  ResultHash=E697  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00394819  Result=0.00396147  Best=0.00394819  Seed=C0A9500E  ResultHash=5D49  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00394819  Result=0.00400636  Best=0.00394819  Seed=C0A95072  ResultHash=D28A  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00394819  Result=0.00400984  Best=0.00394819  Seed=C0A950D6  ResultHash=7F68  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00394819  Result=0.00396198  Best=0.00394819  Seed=C0A9513A  ResultHash=FC44  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00394819  Result=0.00401375  Best=0.00394819  Seed=C0A9519E  ResultHash=E74C  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00394819  Result=0.00400232  Best=0.00394819  Seed=C0A95202  ResultHash=74BF  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00394819  Result=0.00399911  Best=0.00394819  Seed=C0A95266  ResultHash=1FE4  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00394819  Result=0.00400341  Best=0.00394819  Seed=C0A952CA  ResultHash=AE81  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00394819  Result=0.00399423  Best=0.00394819  Seed=C0A9532E  ResultHash=C595  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00394819  Result=0.00400615  Best=0.00394819  Seed=C0A95392  ResultHash=20EC  ProgramHash=0033
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00394819  Result=0.00396668  Best=0.00394819  Seed=C0A953F6  ResultHash=EEBB  ProgramHash=0033
