variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 512;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.01202452  Result=0.01485968  Best=0.01202452  Seed=C0A94A96  ResultHash=A25E  ProgramHash=647C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.01082885  Result=0.01082885  Best=0.01082885  Seed=C0A94A9B  ResultHash=717F  ProgramHash=30B5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.01082885  Result=0.01245677  Best=0.01082885  Seed=C0A94AA0  ResultHash=4222  ProgramHash=1012
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.01082885  Result=0.01099682  Best=0.01082885  Seed=C0A94AA5  ResultHash=CE09  ProgramHash=F708
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.00864460  Result=0.00864460  Best=0.00864460  Seed=C0A94AAA  ResultHash=B8A8  ProgramHash=D5D5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.00864460  Result=0.00944889  Best=0.00864460  Seed=C0A94AAF  ResultHash=5BA4  ProgramHash=C835
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.00864460  Result=0.00904155  Best=0.00864460  Seed=C0A94AB4  ResultHash=8ED8  ProgramHash=9A7E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.00864460  Result=0.00948739  Best=0.00864460  Seed=C0A94AB9  ResultHash=8430  ProgramHash=9441
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.00864460  Result=0.00877285  Best=0.00864460  Seed=C0A94ABE  ResultHash=F6D0  ProgramHash=F09B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.00864460  Result=0.01041074  Best=0.00864460  Seed=C0A94AC3  ResultHash=2BB7  ProgramHash=9D53
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.00864460  Result=0.00963390  Best=0.00864460  Seed=C0A94AC8  ResultHash=FE40  ProgramHash=B94D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.00840898  Result=0.00840898  Best=0.00840898  Seed=C0A94ACD  ResultHash=0049  ProgramHash=EC66
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.00840898  Result=0.00918239  Best=0.00840898  Seed=C0A94AD2  ResultHash=99E1  ProgramHash=BF97
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.00840898  Result=0.00911498  Best=0.00840898  Seed=C0A94AD7  ResultHash=2432  ProgramHash=7989
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.00840898  Result=0.00854772  Best=0.00840898  Seed=C0A94ADC  ResultHash=1D91  ProgramHash=F96D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.00811279  Result=0.00811279  Best=0.00811279  Seed=C0A94AE1  ResultHash=47C5  ProgramHash=8E0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.00762167  Result=0.00762167  Best=0.00762167  Seed=C0A94AE6  ResultHash=F55A  ProgramHash=8E0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.00706315  Result=0.00706315  Best=0.00706315  Seed=C0A94AEB  ResultHash=EEAB  ProgramHash=513D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.00706315  Result=0.00711834  Best=0.00706315  Seed=C0A94AF0  ResultHash=491F  ProgramHash=6249
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.00706315  Result=0.00750029  Best=0.00706315  Seed=C0A94AF5  ResultHash=1824  ProgramHash=A46E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  79  Best=0.00706315  Result=0.00714105  Best=0.00706315  Seed=C0A94AFA  ResultHash=4B07  ProgramHash=39A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  80  Best=0.00686526  Result=0.00686526  Best=0.00686526  Seed=C0A94AFF  ResultHash=2C78  ProgramHash=016F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  81  Best=0.00682139  Result=0.00682139  Best=0.00682139  Seed=C0A94B04  ResultHash=8808  ProgramHash=39A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  82  Best=0.00682139  Result=0.00683084  Best=0.00682139  Seed=C0A94B09  ResultHash=180E  ProgramHash=E310
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  83  Best=0.00644171  Result=0.00644171  Best=0.00644171  Seed=C0A94B0E  ResultHash=CF84  ProgramHash=172D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  84  Best=0.00644171  Result=0.00647163  Best=0.00644171  Seed=C0A94B13  ResultHash=93FA  ProgramHash=7C2E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  85  Best=0.00628996  Result=0.00628996  Best=0.00628996  Seed=C0A94B18  ResultHash=6D4B  ProgramHash=C801
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  86  Best=0.00628996  Result=0.00647819  Best=0.00628996  Seed=C0A94B1D  ResultHash=259F  ProgramHash=0992
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  87  Best=0.00628996  Result=0.00727123  Best=0.00628996  Seed=C0A94B22  ResultHash=BDCE  ProgramHash=D7C7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  88  Best=0.00628996  Result=0.00771487  Best=0.00628996  Seed=C0A94B27  ResultHash=01AA  ProgramHash=D9EE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  89  Best=0.00628996  Result=0.00717002  Best=0.00628996  Seed=C0A94B2C  ResultHash=2171  ProgramHash=B572
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  90  Best=0.00628996  Result=0.00736475  Best=0.00628996  Seed=C0A94B31  ResultHash=7133  ProgramHash=17E0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  91  Best=0.00628996  Result=0.00740230  Best=0.00628996  Seed=C0A94B36  ResultHash=BEF2  ProgramHash=1B70
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  92  Best=0.00628996  Result=0.00708771  Best=0.00628996  Seed=C0A94B3B  ResultHash=0462  ProgramHash=BE69
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  93  Best=0.00628996  Result=0.00644576  Best=0.00628996  Seed=C0A94B40  ResultHash=2722  ProgramHash=7C28
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  94  Best=0.00628996  Result=0.00786078  Best=0.00628996  Seed=C0A94B45  ResultHash=78D1  ProgramHash=B154
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  95  Best=0.00628996  Result=0.00672901  Best=0.00628996  Seed=C0A94B4A  ResultHash=64A4  ProgramHash=7257
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  96  Best=0.00628996  Result=0.00667624  Best=0.00628996  Seed=C0A94B4F  ResultHash=EFA9  ProgramHash=74FE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  97  Best=0.00628996  Result=0.00659406  Best=0.00628996  Seed=C0A94B54  ResultHash=7A53  ProgramHash=C12E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  98  Best=0.00628996  Result=0.00670409  Best=0.00628996  Seed=C0A94B59  ResultHash=7C71  ProgramHash=C12E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  99  Best=0.00628996  Result=0.00642443  Best=0.00628996  Seed=C0A94B5E  ResultHash=9360  ProgramHash=0A0C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 100  Best=0.00628996  Result=0.00667179  Best=0.00628996  Seed=C0A94B63  ResultHash=C36D  ProgramHash=2E63
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 101  Best=0.00628996  Result=0.00641513  Best=0.00628996  Seed=C0A94B68  ResultHash=D129  ProgramHash=2E63
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 102  Best=0.00628996  Result=0.00641507  Best=0.00628996  Seed=C0A94B6D  ResultHash=271C  ProgramHash=DC68
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 103  Best=0.00628996  Result=0.00674427  Best=0.00628996  Seed=C0A94B72  ResultHash=0D8B  ProgramHash=2A5A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 104  Best=0.00628996  Result=0.00648457  Best=0.00628996  Seed=C0A94B77  ResultHash=D796  ProgramHash=6206
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 105  Best=0.00628996  Result=0.00675452  Best=0.00628996  Seed=C0A94B7C  ResultHash=E8AE  ProgramHash=E325
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 106  Best=0.00628996  Result=0.00675207  Best=0.00628996  Seed=C0A94B81  ResultHash=5C5C  ProgramHash=D5A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 107  Best=0.00628996  Result=0.00683972  Best=0.00628996  Seed=C0A94B86  ResultHash=4A18  ProgramHash=C375
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 108  Best=0.00628996  Result=0.00688784  Best=0.00628996  Seed=C0A94B8B  ResultHash=CAF0  ProgramHash=C375
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 109  Best=0.00628996  Result=0.00635254  Best=0.00628996  Seed=C0A94B90  ResultHash=2F39  ProgramHash=E1FC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 110  Best=0.00628996  Result=0.00702202  Best=0.00628996  Seed=C0A94B95  ResultHash=72DE  ProgramHash=1B54
