CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
seed = 3
optimizeSeed = 0
seeds = 100
tests = 1
units = 4
processes = 0
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=43  Age=24  Result=0.00075105  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1587 Seconds  Run Time=73.5704 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=44  Age=25  Result=0.00203839  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1359 Seconds  Run Time=74.1139 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=45  Age=26  Result=0.00094354  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1013 Seconds  Run Time=74.5192 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=46  Age=27  Result=0.00059110  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1800 Seconds  Run Time=75.2392 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=47  Age=28  Result=0.97492790  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.0925 Seconds  Run Time=75.6090 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=48  Age=29  Result=0.00070155  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1616 Seconds  Run Time=76.2553 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=49  Age=30  Result=0.00065029  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1233 Seconds  Run Time=76.7484 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=50  Age=31  Result=0.00063518  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1550 Seconds  Run Time=77.3683 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=51  Age=32  Result=0.00058645  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1173 Seconds  Run Time=77.8377 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=52  Age=33  Result=0.00116817  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1780 Seconds  Run Time=78.5496 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=53  Age=34  Result=0.00227571  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1029 Seconds  Run Time=78.9610 Seconds  TestError=0.00000001
