CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10688785  Best=0.10688785 BestError=0.10497549  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00157154  Best=0.00157154 BestError=0.00145507  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00134990  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00356865  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=  13  Generation=  9  Age=  3  Evolution= 3  Weight=0.00105643  Old Result= 0.00013205  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   5.0  Run Time=  47.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   4  Id=   9  Generation= 16  Age=  5  Evolution= 3  Weight=0.00088155  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   5.2  Run Time=  47.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  14  Id=   9  Generation= 22  Age= 11  Evolution= 3  Weight=0.00123417  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.4  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=   9  Generation= 13  Age=  2  Evolution= 3  Weight=0.00070524  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   7.1  Run Time=  49.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00243235  Best=0.00005877 BestError=0.00005972  Time=   7.3  Run Time=  49.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  10  Id=  12  Generation= 16  Age=  2  Evolution= 3  Weight=0.00115693  Old Result= 0.00007713  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.2  Run Time=  50.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  15  Id=   9  Generation= 23  Age= 12  Evolution= 3  Weight=0.00129294  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.1  Run Time=  50.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=   9  Generation= 15  Age=  4  Evolution= 3  Weight=0.00082278  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   7.5  Run Time=  50.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=  13  Generation=  8  Age=  2  Evolution= 3  Weight=0.00092438  Old Result= 0.00013205  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   7.5  Run Time=  50.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   9  Id=   9  Generation= 20  Age=  9  Evolution= 3  Weight=0.00111663  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   1.4  Run Time=  51.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  11  Id=   9  Generation= 21  Age= 10  Evolution= 3  Weight=0.00117540  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   1.5  Run Time=  51.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   8  Id=   9  Generation= 19  Age=  8  Evolution= 3  Weight=0.00105786  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.5  Run Time=  52.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  12  Id=  13  Generation= 10  Age=  4  Evolution= 3  Weight=0.00118849  Old Result= 0.00013205  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   4.7  Run Time=  52.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  13  Id=  12  Generation= 17  Age=  3  Evolution= 3  Weight=0.00123405  Old Result= 0.00007713 >New Result=0.00007506  Best=0.00005877 BestError=0.00005972  Time=   2.6  Run Time=  53.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   6  Id=  12  Generation= 20  Age=  3  Evolution= 4  Weight=0.00142616  Old Result= 0.00007506  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.5  Run Time=  55.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=   9  Generation= 25  Age= 14  Evolution= 3  Weight=0.00141048  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   3.3  Run Time=  56.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=  12  Generation= 19  Age=  2  Evolution= 4  Weight=0.00135110  Old Result= 0.00007506  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   4.9  Run Time=  58.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   4  Id=   9  Generation= 24  Age= 13  Evolution= 3  Weight=0.00135171  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   5.3  Run Time=  58.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  13  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00157154  Old Result= 0.00157154  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.5  Run Time=  59.4
