CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
samples = 15
instructions = 32
registers = 30
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_EVOLVE_GPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 1
states = 1
generations = 0
population = 8192
iterations = 64
passes = 500
candidates = 16
attempts = 0
optimize = 1

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 26  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00105506  Bad Result=0.00117970  Index=4918  EvolveAge1=1474  EvolveAge2=6785  Best=0.00006032   BestAge=9  Time=1.1 Seconds  Run Time=1960.4 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 27  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00117970 >New Result=0.00109166  Index=3274  EvolveAge1=17  EvolveAge2=457  Best=0.00006032   BestAge=10  Time=1.1 Seconds  Run Time=1961.4 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 28  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00109166 >New Result=0.00093001  Index=3274  EvolveAge1=290  EvolveAge2=596  Best=0.00006032   BestAge=11  Time=1.1 Seconds  Run Time=1962.5 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 29  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00093001  Bad Result=0.00093001  Index=3274  EvolveAge1=790  EvolveAge2=596  Best=0.00006032   BestAge=12  Time=1.1 Seconds  Run Time=1963.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 30  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00093001  Bad Result=0.00117970  Index=4918  EvolveAge1=3474  EvolveAge2=6785  Best=0.00006032   BestAge=13  Time=1.1 Seconds  Run Time=1964.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 31  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00117970 >New Result=0.00093099  Index=5872  EvolveAge1=3  EvolveAge2=8311  Best=0.00006032   BestAge=14  Time=1.1 Seconds  Run Time=1965.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 32  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00093099 >New Result=0.00092244  Index=5872  EvolveAge1=451  EvolveAge2=8335  Best=0.00006032   BestAge=15  Time=1.1 Seconds  Run Time=1966.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 33  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00092244  Bad Result=0.00092244  Index=5872  EvolveAge1=951  EvolveAge2=8335  Best=0.00006032   BestAge=16  Time=1.1 Seconds  Run Time=1967.9 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 34  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00092244  Bad Result=0.00092244  Index=5872  EvolveAge1=1451  EvolveAge2=8335  Best=0.00006032   BestAge=17  Time=1.1 Seconds  Run Time=1969.0 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 35  Age=  3  Evolution= 0  Weight=0.00000000  Old Result=0.00092244  Bad Result=0.00092244  Index=5872  EvolveAge1=1951  EvolveAge2=8335  Best=0.00006032   BestAge=18  Time=1.1 Seconds  Run Time=1970.1 Seconds
FIRESTARTER_OPTIMIZE_GPU: Seed=0  Test=13  Optimize=0  Generation= 35 *Result=0.00018230  Best=0.00018230   Time=2.3 Seconds  Run Time=1972.4 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 36  Age=  4  Evolution= 0  Weight=0.00000000  Old Result=0.00092244  Bad Result=0.00092244  Index=5872  EvolveAge1=2451  EvolveAge2=8335  Best=0.00006032   BestAge=19  Time=1.1 Seconds  Run Time=1973.5 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 37  Age=  5  Evolution= 0  Weight=0.00000000  Old Result=0.00092244  Bad Result=0.00092244  Index=5872  EvolveAge1=2951  EvolveAge2=8335  Best=0.00006032   BestAge=20  Time=1.1 Seconds  Run Time=1974.5 Seconds
