CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10243542  Best=0.10243542 BestError=0.10059024  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.10243542 BestError=0.10059024  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00228131  Best=0.00228131 BestError=0.00208052  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00067529  Best=0.00067529 BestError=0.00059947  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  14  Id=  13  Generation= 34  Age= 15  Evolution= 2  Weight=0.00149564  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   1.8  Run Time=  49.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  10  Id=  13  Generation= 30  Age= 11  Evolution= 2  Weight=0.00131435  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   1.8  Run Time=  49.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   9  Id=  13  Generation= 29  Age= 10  Evolution= 2  Weight=0.00126903  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   1.8  Run Time=  49.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  12  Id=  13  Generation= 32  Age= 13  Evolution= 2  Weight=0.00140500  Old Result= 0.00004532 >New Result=0.00004276  Best=0.00003199 BestError=0.00003453  Time=   2.4  Run Time=  50.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=  13  Generation= 39  Age=  4  Evolution= 3  Weight=0.00121566  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.3  Run Time=  52.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=  13  Generation= 43  Age=  8  Evolution= 3  Weight=0.00134363  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.4  Run Time=  52.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   4  Id=  13  Generation= 40  Age=  5  Evolution= 3  Weight=0.00124765  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.4  Run Time=  52.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   6  Id=  13  Generation= 42  Age=  7  Evolution= 3  Weight=0.00131164  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.5  Run Time=  52.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=  13  Generation= 37  Age=  2  Evolution= 3  Weight=0.00115168  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.6  Run Time=  52.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   5  Id=  13  Generation= 41  Age=  6  Evolution= 3  Weight=0.00127965  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.6  Run Time=  52.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=  13  Generation= 38  Age=  3  Evolution= 3  Weight=0.00118367  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.7  Run Time=  52.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  11  Id=  13  Generation= 47  Age= 12  Evolution= 3  Weight=0.00147159  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.0  Run Time=  54.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  13  Id=  13  Generation= 49  Age= 14  Evolution= 3  Weight=0.00153557  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.4  Run Time=  55.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  10  Id=  13  Generation= 46  Age= 11  Evolution= 3  Weight=0.00143960  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.4  Run Time=  55.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   9  Id=  13  Generation= 45  Age= 10  Evolution= 3  Weight=0.00140761  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.6  Run Time=  55.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00160153  Best=0.00003199 BestError=0.00003453  Time=   6.2  Run Time=  56.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  14  Id=  13  Generation= 50  Age= 15  Evolution= 3  Weight=0.00156757  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   3.7  Run Time=  56.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   8  Id=  13  Generation= 44  Age=  9  Evolution= 3  Weight=0.00137562  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   1.0  Run Time=  57.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  15  Id=  11  Generation=  7  Age=  4  Evolution= 2  Weight=0.00157837  Old Result= 0.00026306  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   4.7  Run Time=  57.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  12  Id=  13  Generation= 48  Age= 13  Evolution= 3  Weight=0.00150358  Old Result= 0.00003199  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   4.7  Run Time=  57.8
