variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.06792140  Result=0.11413035  Best=0.06792140  Seed=5FA82B81  ResultHash=A23B  ProgramHash=D60D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.06792140  Result=0.11834776  Best=0.06792140  Seed=5FA82B86  ResultHash=9E31  ProgramHash=ED4B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.06792140  Result=0.10662091  Best=0.06792140  Seed=5FA82B8B  ResultHash=ACD0  ProgramHash=AFAC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.06792140  Result=0.07435495  Best=0.06792140  Seed=5FA82B90  ResultHash=158F  ProgramHash=5DA5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.06792140  Result=0.13345243  Best=0.06792140  Seed=5FA82B95  ResultHash=A2BF  ProgramHash=A49E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.04908478  Result=0.04908478  Best=0.04908478  Seed=5FA82B9A  ResultHash=987F  ProgramHash=B59A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.04908478  Result=0.12885392  Best=0.04908478  Seed=5FA82B9F  ResultHash=6F65  ProgramHash=BDE4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.04908478  Result=0.11743170  Best=0.04908478  Seed=5FA82BA4  ResultHash=6E16  ProgramHash=6FBC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.04908478  Result=0.10609829  Best=0.04908478  Seed=5FA82BA9  ResultHash=3AD4  ProgramHash=CD4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.04908478  Result=0.07871699  Best=0.04908478  Seed=5FA82BAE  ResultHash=930C  ProgramHash=9AD3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.04908478  Result=0.06840265  Best=0.04908478  Seed=5FA82BB3  ResultHash=DA4A  ProgramHash=082C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.04908478  Result=0.10273345  Best=0.04908478  Seed=5FA82BB8  ResultHash=F262  ProgramHash=8F96
