variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1234;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.02429610  Result=0.02858818  Best=0.02429610  Seed=4F2963EB  ResultHash=8DD6  ProgramHash=B494
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.02429610  Result=0.03011894  Best=0.02429610  Seed=4F2963F0  ResultHash=A5A2  ProgramHash=0793
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.02429610  Result=0.02881697  Best=0.02429610  Seed=4F2963F5  ResultHash=FBDE  ProgramHash=CF18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.02429610  Result=0.02628255  Best=0.02429610  Seed=4F2963FA  ResultHash=A75F  ProgramHash=9399
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.02429610  Result=0.02997592  Best=0.02429610  Seed=4F2963FF  ResultHash=B35C  ProgramHash=9AC7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.02429610  Result=0.02932990  Best=0.02429610  Seed=4F296404  ResultHash=6EC0  ProgramHash=72BA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.02126265  Result=0.02126265  Best=0.02126265  Seed=4F296409  ResultHash=209B  ProgramHash=D34D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.02018493  Result=0.02018493  Best=0.02018493  Seed=4F29640E  ResultHash=72D2  ProgramHash=87C8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00982952  Result=0.00982952  Best=0.00982952  Seed=4F296413  ResultHash=2FB9  ProgramHash=7DF9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00624049  Result=0.00624049  Best=0.00624049  Seed=4F296418  ResultHash=5670  ProgramHash=7DF9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00466800  Result=0.00466800  Best=0.00466800  Seed=4F29641D  ResultHash=5832  ProgramHash=8D18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.00466800  Result=0.00860262  Best=0.00466800  Seed=4F296422  ResultHash=1048  ProgramHash=8D18
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.00466800  Result=0.00634480  Best=0.00466800  Seed=4F296427  ResultHash=1187  ProgramHash=C497
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.00309876  Result=0.00309876  Best=0.00309876  Seed=4F29642C  ResultHash=AED0  ProgramHash=C497
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.00309876  Result=0.00647056  Best=0.00309876  Seed=4F296431  ResultHash=83D2  ProgramHash=B379
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.00309876  Result=0.00811172  Best=0.00309876  Seed=4F296436  ResultHash=F4C9  ProgramHash=A0D2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.00309876  Result=0.00740510  Best=0.00309876  Seed=4F29643B  ResultHash=FD39  ProgramHash=69F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.00309876  Result=0.01332739  Best=0.00309876  Seed=4F296440  ResultHash=AAF0  ProgramHash=69F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.00309876  Result=0.00601894  Best=0.00309876  Seed=4F296445  ResultHash=43F5  ProgramHash=D9D1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.00309876  Result=0.00599444  Best=0.00309876  Seed=4F29644A  ResultHash=C119  ProgramHash=D9D1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.00309876  Result=0.00528848  Best=0.00309876  Seed=4F29644F  ResultHash=78C4  ProgramHash=A956
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.00309876  Result=0.00649646  Best=0.00309876  Seed=4F296454  ResultHash=26EC  ProgramHash=F1B8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.00309876  Result=0.00494885  Best=0.00309876  Seed=4F296459  ResultHash=3820  ProgramHash=C56E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.00309876  Result=0.00545335  Best=0.00309876  Seed=4F29645E  ResultHash=A712  ProgramHash=6099
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.00309876  Result=0.00712524  Best=0.00309876  Seed=4F296463  ResultHash=47F0  ProgramHash=6099
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.00309876  Result=0.00391383  Best=0.00309876  Seed=4F296468  ResultHash=D326  ProgramHash=9DE4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.00309876  Result=0.00326741  Best=0.00309876  Seed=4F29646D  ResultHash=C885  ProgramHash=149D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.00309876  Result=0.00613201  Best=0.00309876  Seed=4F296472  ResultHash=EDEF  ProgramHash=46CA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.00309876  Result=0.00429654  Best=0.00309876  Seed=4F296477  ResultHash=4D48  ProgramHash=D728
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.00309876  Result=0.00428587  Best=0.00309876  Seed=4F29647C  ResultHash=857A  ProgramHash=7E22
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.00309876  Result=0.00314856  Best=0.00309876  Seed=4F296481  ResultHash=DB39  ProgramHash=E876
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.00153089  Result=0.00153089  Best=0.00153089  Seed=4F296486  ResultHash=CFA5  ProgramHash=F11E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.00153089  Result=0.00368161  Best=0.00153089  Seed=4F29648B  ResultHash=6E5D  ProgramHash=671D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.00153089  Result=0.00434947  Best=0.00153089  Seed=4F296490  ResultHash=3E77  ProgramHash=F653
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.00153089  Result=0.00330973  Best=0.00153089  Seed=4F296495  ResultHash=9D5A  ProgramHash=E266
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.00153089  Result=0.00249112  Best=0.00153089  Seed=4F29649A  ResultHash=02BA  ProgramHash=6E41
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.00153089  Result=0.00259804  Best=0.00153089  Seed=4F29649F  ResultHash=8D3D  ProgramHash=6E41
