CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_EVOLVE
evolveSeed = 0
optimizeSeed = 0
tests = 1
seeds = 64
units = 4
population = 278528
iterations = 64
optimizations = 500
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=38  Id=38  CopyId=38  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.22139564  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=39  Id=39  CopyId=39  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.00267613  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=40  Id=40  CopyId=40  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.85227418  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=41  Id=41  CopyId=41  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.24038529  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=42  Id=42  CopyId=42  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.20369047  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=43  Id=43  CopyId=43  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.24038529  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=44  Id=44  CopyId=44  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.87919950  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=45  Id=45  CopyId=45  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.45252717  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=46  Id=46  CopyId=46  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00231737  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=47  Id=47  CopyId=47  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.08691741  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=48  Id=48  CopyId=48  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00346828  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=49  Id=49  CopyId=49  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.50549591  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=50  Id=50  CopyId=50  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00352669  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=51  Id=51  CopyId=51  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00070179  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=52  Id=52  CopyId=52  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.26418757  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=53  Id=53  CopyId=53  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.17503226  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=54  Id=54  CopyId=54  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00025700  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=55  Id=55  CopyId=55  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00633493  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=56  Id=56  CopyId=56  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.01987129  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=57  Id=57  CopyId=57  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.50460953  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=58  Id=58  CopyId=58  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.95581996  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=59  Id=59  CopyId=59  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00083452  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=60  Id=60  CopyId=60  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.24038529  Best=0.00022906  BestError=0.00000024  BestAge=0
