variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
processes = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE: Seed=44  Generation=44  Age=0  Best=0.01429045  BestSeed=44  Time=0.4974 Seconds  Run Time=23.7510 Seconds  TestError=6632388828919234560.00000000
FIRESTARTER_CODE: Seed=45  Generation=45  Age=1  Best=0.01429045  BestSeed=44  Time=0.5060 Seconds  Run Time=24.2477 Seconds  TestError=6632388828919234560.00000000
FIRESTARTER_CODE: Seed=46  Generation=46  Age=0  Best=0.01413000  BestSeed=46  Time=0.4974 Seconds  Run Time=24.7543 Seconds  TestError=664172506802370379776.00000000
FIRESTARTER_CODE: Seed=47  Generation=47  Age=0  Best=0.01386547  BestSeed=47  Time=0.5083 Seconds  Run Time=25.2625 Seconds  TestError=47431616606349819904.00000000
FIRESTARTER_CODE: Seed=48  Generation=48  Age=1  Best=0.01386547  BestSeed=47  Time=0.5095 Seconds  Run Time=25.7629 Seconds  TestError=47431616606349819904.00000000
FIRESTARTER_CODE: Seed=49  Generation=49  Age=2  Best=0.01386547  BestSeed=47  Time=0.5028 Seconds  Run Time=26.2657 Seconds  TestError=47431616606349819904.00000000
FIRESTARTER_CODE: Seed=50  Generation=50  Age=3  Best=0.01386547  BestSeed=47  Time=0.5076 Seconds  Run Time=26.7732 Seconds  TestError=47431616606349819904.00000000
FIRESTARTER_CODE: Seed=51  Generation=51  Age=4  Best=0.01386547  BestSeed=47  Time=0.5073 Seconds  Run Time=27.2806 Seconds  TestError=47431616606349819904.00000000
FIRESTARTER_CODE: Seed=52  Generation=52  Age=5  Best=0.01386547  BestSeed=47  Time=0.5046 Seconds  Run Time=27.7851 Seconds  TestError=47431616606349819904.00000000
FIRESTARTER_CODE: Seed=53  Generation=53  Age=0  Best=0.01334989  BestSeed=53  Time=0.5048 Seconds  Run Time=28.2991 Seconds  TestError=25774245802976215040.00000000
