variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 6;
process = 1;
population = 17408;
iterations = 128;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=228  Seed=228  Result=0.00061893  Average=0.00035507  Best=0.00016552  BestSeed=100  Time=20.0965 Seconds  Run Time=22.6531 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=231  Seed=231  Result=0.00106862  Average=0.00035508  Best=0.00016552  BestSeed=100  Time=20.2751 Seconds  Run Time=22.8316 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=236  Seed=236  Result=0.00048745  Average=0.00034963  Best=0.00016552  BestSeed=100  Time=20.6596 Seconds  Run Time=23.2161 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=241  Seed=241  Result=0.00105381  Average=0.00034675  Best=0.00016552  BestSeed=100  Time=20.9426 Seconds  Run Time=23.4992 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=245  Seed=245  Result=0.00016552  Average=0.00034176  Best=0.00016552  BestSeed=100  Time=21.3013 Seconds  Run Time=23.8579 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=250  Seed=250  Result=0.00081635  Average=0.00033819  Best=0.00016552  BestSeed=100  Time=21.6287 Seconds  Run Time=24.1852 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=253  Seed=253  Result=0.00061893  Average=0.00033663  Best=0.00016552  BestSeed=100  Time=21.8544 Seconds  Run Time=24.4110 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=255  Seed=255  Result=0.00106862  Average=0.00033818  Best=0.00016552  BestSeed=100  Time=21.9572 Seconds  Run Time=24.5138 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=260  Seed=260  Result=0.00048745  Average=0.00033355  Best=0.00016552  BestSeed=100  Time=22.3074 Seconds  Run Time=24.8640 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=264  Seed=264  Result=0.00105381  Average=0.00033249  Best=0.00016552  BestSeed=100  Time=22.5588 Seconds  Run Time=25.1154 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=268  Seed=268  Result=0.00016552  Average=0.00032814  Best=0.00016552  BestSeed=100  Time=22.9541 Seconds  Run Time=25.5107 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=269  Seed=269  Result=0.00081635  Average=0.00032996  Best=0.00016552  BestSeed=100  Time=23.0008 Seconds  Run Time=25.5573 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=271  Seed=271  Result=0.00061893  Average=0.00032981  Best=0.00016552  BestSeed=100  Time=23.0453 Seconds  Run Time=25.6019 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=273  Seed=273  Result=0.00106862  Average=0.00033130  Best=0.00016552  BestSeed=100  Time=23.2267 Seconds  Run Time=25.7832 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=278  Seed=278  Result=0.00048745  Average=0.00032710  Best=0.00016552  BestSeed=100  Time=23.6008 Seconds  Run Time=26.1573 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=283  Seed=283  Result=0.00105381  Average=0.00032504  Best=0.00016552  BestSeed=100  Time=23.8416 Seconds  Run Time=26.3981 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=287  Seed=287  Result=0.00016552  Average=0.00032109  Best=0.00016552  BestSeed=100  Time=24.2043 Seconds  Run Time=26.7609 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=292  Seed=292  Result=0.00081635  Average=0.00031839  Best=0.00016552  BestSeed=100  Time=24.5547 Seconds  Run Time=27.1113 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=295  Seed=295  Result=0.00061893  Average=0.00031725  Best=0.00016552  BestSeed=100  Time=24.7211 Seconds  Run Time=27.2776 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=297  Seed=297  Result=0.00106862  Average=0.00031871  Best=0.00016552  BestSeed=100  Time=24.8965 Seconds  Run Time=27.4530 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=299  Seed=299  Result=0.00105381  Average=0.00032010  Best=0.00016552  BestSeed=100  Time=25.0616 Seconds  Run Time=27.6182 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=300  Seed=300  Result=0.00016552  Average=0.00031959  Best=0.00016552  BestSeed=100  Time=25.1087 Seconds  Run Time=27.6653 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=304  Seed=304  Result=0.00081635  Average=0.00031807  Best=0.00016552  BestSeed=100  Time=25.4464 Seconds  Run Time=28.0029 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=307  Seed=307  Result=0.00061893  Average=0.00031697  Best=0.00016552  BestSeed=100  Time=25.6214 Seconds  Run Time=28.1779 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=309  Seed=309  Result=0.00106862  Average=0.00031838  Best=0.00016552  BestSeed=100  Time=25.7393 Seconds  Run Time=28.2959 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=311  Seed=311  Result=0.00105381  Average=0.00031972  Best=0.00016552  BestSeed=100  Time=25.8901 Seconds  Run Time=28.4467 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=312  Seed=312  Result=0.00016552  Average=0.00031923  Best=0.00016552  BestSeed=100  Time=25.9467 Seconds  Run Time=28.5033 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=316  Seed=316  Result=0.00081635  Average=0.00031777  Best=0.00016552  BestSeed=100  Time=26.2305 Seconds  Run Time=28.7871 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=319  Seed=319  Result=0.00061893  Average=0.00031672  Best=0.00016552  BestSeed=100  Time=26.4800 Seconds  Run Time=29.0366 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=320  Seed=320  Result=0.00106862  Average=0.00031907  Best=0.00016552  BestSeed=100  Time=26.6230 Seconds  Run Time=29.1795 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=321  Seed=321  Result=0.00048745  Average=0.00031960  Best=0.00016552  BestSeed=100  Time=26.6989 Seconds  Run Time=29.2555 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=324  Seed=324  Result=0.00100392  Average=0.00031974  Best=0.00016552  BestSeed=100  Time=26.7303 Seconds  Run Time=29.2868 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=327  Seed=327  Result=0.00081635  Average=0.00031930  Best=0.00016552  BestSeed=100  Time=27.1367 Seconds  Run Time=29.6933 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=331  Seed=331  Result=0.00061893  Average=0.00031731  Best=0.00016552  BestSeed=100  Time=27.3018 Seconds  Run Time=29.8583 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=334  Seed=334  Result=0.00106862  Average=0.00031766  Best=0.00016552  BestSeed=100  Time=27.5611 Seconds  Run Time=30.1177 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=340  Seed=340  Result=0.00048745  Average=0.00031349  Best=0.00016552  BestSeed=100  Time=27.8936 Seconds  Run Time=30.4501 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=341  Seed=341  Result=0.00100392  Average=0.00031551  Best=0.00016552  BestSeed=100  Time=28.0280 Seconds  Run Time=30.5845 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=347  Seed=347  Result=0.00016552  Average=0.00031053  Best=0.00016552  BestSeed=100  Time=28.4020 Seconds  Run Time=30.9586 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=349  Seed=349  Result=0.00061893  Average=0.00031053  Best=0.00016552  BestSeed=100  Time=28.5867 Seconds  Run Time=31.1433 Seconds  TestError=0.00000012
