variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=56  Seed=56  Result=0.00062436  Average=0.03894629  Best=0.00025827  BestSeed=8  Time=0.1801 Seconds  Run Time=15.5303 Seconds  TestError=1549.56738281  V:0=0.00062436  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=57  Seed=57  Result=0.00060964  Average=0.03827372  Best=0.00025827  BestSeed=8  Time=0.1797 Seconds  Run Time=15.6873 Seconds  TestError=8.51675415  V:0=0.00060964  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=58  Seed=58  Result=0.00210613  Average=0.03765014  Best=0.00025827  BestSeed=8  Time=0.1793 Seconds  Run Time=15.8406 Seconds  TestError=8.51675415  V:0=0.00210613  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=59  Seed=59  Result=0.00068203  Average=0.03702356  Best=0.00025827  BestSeed=8  Time=0.1789 Seconds  Run Time=15.9977 Seconds  TestError=8.51675415  V:0=0.00068203  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=60  Seed=55  Result=0.00927403  Average=0.03656107  Best=0.00025827  BestSeed=8  Time=0.1763 Seconds  Run Time=16.0199 Seconds  TestError=8.51675415  V:0=0.00927403  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=61  Seed=60  Result=0.00351951  Average=0.03601941  Best=0.00025827  BestSeed=8  Time=0.1756 Seconds  Run Time=16.1562 Seconds  TestError=8.51675415  V:0=0.00351951  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=62  Seed=62  Result=0.00332791  Average=0.03549213  Best=0.00025827  BestSeed=8  Time=0.1753 Seconds  Run Time=16.3125 Seconds  TestError=8.51675415  V:0=0.00332791  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=63  Seed=64  Result=0.00143886  Average=0.03495160  Best=0.00025827  BestSeed=8  Time=0.1750 Seconds  Run Time=16.4658 Seconds  TestError=8.51675415  V:0=0.00143886  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=64  Seed=63  Result=0.00495061  Average=0.03448283  Best=0.00025827  BestSeed=8  Time=0.1747 Seconds  Run Time=16.6227 Seconds  TestError=8.51675415  V:0=0.00495061  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=65  Seed=65  Result=0.00874663  Average=0.03408689  Best=0.00025827  BestSeed=8  Time=0.1744 Seconds  Run Time=16.7800 Seconds  TestError=8.51675415  V:0=0.00874663  V:1=10.00000000  V:2=10.00000000
