variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.01794326  Result=0.01942658  Best=0.01794326  Seed=5FA82BE5  ResultHash=3315  ProgramHash=3E58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.01794326  Result=0.01827782  Best=0.01794326  Seed=5FA82BEA  ResultHash=0B8F  ProgramHash=3458
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.01794326  Result=0.01812285  Best=0.01794326  Seed=5FA82BEF  ResultHash=2A9B  ProgramHash=7A1F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.01794326  Result=0.01820767  Best=0.01794326  Seed=5FA82BF4  ResultHash=F747  ProgramHash=F836
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.01794326  Result=0.01794684  Best=0.01794326  Seed=5FA82BF9  ResultHash=E49A  ProgramHash=F836
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.01764858  Result=0.01764858  Best=0.01764858  Seed=5FA82BFE  ResultHash=DB26  ProgramHash=F836
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.01750845  Result=0.01750845  Best=0.01750845  Seed=5FA82C03  ResultHash=CAE3  ProgramHash=A9D8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.01737797  Result=0.01737797  Best=0.01737797  Seed=5FA82C08  ResultHash=CB65  ProgramHash=4346
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.01737797  Result=0.01770618  Best=0.01737797  Seed=5FA82C0D  ResultHash=3F90  ProgramHash=99DD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.01687741  Result=0.01687741  Best=0.01687741  Seed=5FA82C12  ResultHash=AE0A  ProgramHash=AB1A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.01536126  Result=0.01536126  Best=0.01536126  Seed=5FA82C17  ResultHash=BAAB  ProgramHash=7952
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.01526546  Result=0.01526546  Best=0.01526546  Seed=5FA82C1C  ResultHash=7101  ProgramHash=7AB9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.01526546  Result=0.01719427  Best=0.01526546  Seed=5FA82C21  ResultHash=A31B  ProgramHash=559A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.01526546  Result=0.01664883  Best=0.01526546  Seed=5FA82C26  ResultHash=2094  ProgramHash=C369
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.01227278  Result=0.01227278  Best=0.01227278  Seed=5FA82C2B  ResultHash=DEEE  ProgramHash=404B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.01227278  Result=0.01553035  Best=0.01227278  Seed=5FA82C30  ResultHash=5998  ProgramHash=0A9D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.01227278  Result=0.01673055  Best=0.01227278  Seed=5FA82C35  ResultHash=74BF  ProgramHash=1406
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  79  Best=0.01227278  Result=0.01772368  Best=0.01227278  Seed=5FA82C3A  ResultHash=4B43  ProgramHash=658A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  80  Best=0.01227278  Result=0.01796484  Best=0.01227278  Seed=5FA82C3F  ResultHash=137B  ProgramHash=5CFB
