CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 30
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_EVOLVE
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
generations = 0
population = 278528
iterations = 64
passes = 500
candidates = 16
attempts = 0
optimize = 8

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=6  Time=2.3 Seconds  Run Time=6793.3 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=7  Time=2.3 Seconds  Run Time=6795.6 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=8  Time=2.3 Seconds  Run Time=6798.0 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=0  Time=16.7 Seconds  Run Time=7938.9 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=1  Time=1.9 Seconds  Run Time=7940.8 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=2  Time=1.9 Seconds  Run Time=7942.7 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=3  Time=1.9 Seconds  Run Time=7944.7 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=4  Time=1.9 Seconds  Run Time=7946.6 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=5  Time=1.9 Seconds  Run Time=7948.5 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=6  Time=1.9 Seconds  Run Time=7950.4 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=7  Time=1.9 Seconds  Run Time=7952.3 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 6  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000075  Optimize=8  Time=1.9 Seconds  Run Time=7954.2 Seconds
