CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00020730  Best=0.00020730 BestError=0.00045645  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00019872  Best=0.00019872 BestError=0.00012076  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00215551  Best=0.00019872 BestError=0.00012076  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00086171  Best=0.00019872 BestError=0.00012076  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   2  Generation= 32  Age= 14  Evolution= 3  Weight=0.00028825  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   5.0  Run Time=  51.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  13  Id=   2  Generation= 44  Age= 26  Evolution= 3  Weight=0.00039983  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  51.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  15  Id=   4  Generation=  9  Age=  3  Evolution= 3  Weight=0.00041003  Old Result= 0.00005125  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  51.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00013962  Best=0.00000930 BestError=0.00002418  Time=   7.0  Run Time=  53.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   4  Id=   2  Generation= 35  Age= 17  Evolution= 3  Weight=0.00031614  Old Result= 0.00000930 *New Result=0.00000429  Best=0.00000429 BestError=0.00002601  Time=   7.1  Run Time=  53.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   3  Id=   2  Generation= 34  Age= 16  Evolution= 3  Weight=0.00030684  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000429 BestError=0.00002601  Time=   7.1  Run Time=  53.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   9  Id=   2  Generation= 40  Age= 22  Evolution= 3  Weight=0.00036263  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000429 BestError=0.00002601  Time=   1.9  Run Time=  53.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   6  Id=   2  Generation= 38  Age= 20  Evolution= 3  Weight=0.00034404  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000429 BestError=0.00002601  Time=   7.3  Run Time=  53.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  10  Id=   2  Generation= 41  Age= 23  Evolution= 3  Weight=0.00037193  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000429 BestError=0.00002601  Time=   5.8  Run Time=  54.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   8  Id=   4  Generation=  8  Age=  2  Evolution= 3  Weight=0.00035878  Old Result= 0.00005125  Bad Result=10.00000000  Best=0.00000429 BestError=0.00002601  Time=   1.4  Run Time=  54.7
