CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 2
processes = 2
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=45  Generation=0  Age=0  Evolution=0  Result=0.45252201  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4165 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=46  Generation=0  Age=0  Evolution=0  Result=0.00485724  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4167 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=47  Generation=0  Age=0  Evolution=0  Result=0.08691692  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4169 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=48  Generation=0  Age=0  Evolution=0  Result=0.00358844  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4171 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=49  Generation=0  Age=0  Evolution=0  Result=0.50549287  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4173 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=50  Generation=0  Age=0  Evolution=0  Result=0.00093439  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4176 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=51  Generation=0  Age=0  Evolution=0  Result=0.00148416  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4178 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=52  Generation=0  Age=0  Evolution=0  Result=1.26404643  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4180 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=53  Generation=0  Age=0  Evolution=0  Result=1.17508531  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4182 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=54  Generation=0  Age=0  Evolution=0 *Result=0.00020897  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0037 Seconds  Run Time=4606.4255 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=55  Generation=0  Age=0  Evolution=0  Result=0.00895686  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0005 Seconds  Run Time=4606.4266 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=56  Generation=0  Age=0  Evolution=0  Result=0.01691169  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=4606.4269 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=57  Generation=0  Age=0  Evolution=0  Result=0.50816196  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4272 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=58  Generation=0  Age=0  Evolution=0  Result=0.95581990  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=4606.4275 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=59  Generation=0  Age=0  Evolution=0  Result=0.00632834  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=4606.4279 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=60  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4282 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=61  Generation=0  Age=0  Evolution=0  Result=0.01499611  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4285 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=62  Generation=0  Age=0  Evolution=0  Result=0.00031649  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4288 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=63  Generation=0  Age=0  Evolution=0  Result=0.13668758  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4290 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=0  Generation=1  Age=0  Evolution=1 *Result=0.00019905  Best=0.00019905  BestSeed=0  BestGen=1  Time=12.1492 Seconds  Run Time=4630.7274 Seconds  TestError=0.00000158
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=1  Generation=1  Age=0  Evolution=1 *Result=0.00016606  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0070 Seconds  Run Time=4630.7414 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=2  Generation=1  Age=0  Evolution=1  Result=0.00031649  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0017 Seconds  Run Time=4630.7448 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=3  Generation=1  Age=0  Evolution=1  Result=0.00055248  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7451 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=4  Generation=1  Age=0  Evolution=1  Result=0.00033444  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7453 Seconds  TestError=0.00000090
