CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 4
processes = 4
population = 278528
iterations = 64
generations = 500
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=48  Id=48  CopyId=48  Generation=0  Age=0  Evolution=0  Result=0.00358844  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1260 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=49  Id=49  CopyId=49  Generation=0  Age=0  Evolution=0  Result=0.50549287  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1262 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=50  Id=50  CopyId=50  Generation=0  Age=0  Evolution=0  Result=0.00093439  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1264 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=51  Id=51  CopyId=51  Generation=0  Age=0  Evolution=0  Result=0.00148416  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1267 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=52  Id=52  CopyId=52  Generation=0  Age=0  Evolution=0  Result=1.26404643  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1269 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=53  Id=53  CopyId=53  Generation=0  Age=0  Evolution=0  Result=1.17508531  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=12142.1271 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=54  Id=54  CopyId=54  Generation=0  Age=0  Evolution=0 *Result=0.00020897  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0050 Seconds  Run Time=12142.1473 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=55  Id=55  CopyId=55  Generation=0  Age=0  Evolution=0  Result=0.00895686  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0011 Seconds  Run Time=12142.1517 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=56  Id=56  CopyId=56  Generation=0  Age=0  Evolution=0  Result=0.01691169  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1520 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=57  Id=57  CopyId=57  Generation=0  Age=0  Evolution=0  Result=0.50816196  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1523 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=58  Id=58  CopyId=58  Generation=0  Age=0  Evolution=0  Result=0.95581990  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=12142.1524 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=59  Id=59  CopyId=59  Generation=0  Age=0  Evolution=0  Result=0.00632834  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1527 Seconds  TestError=0.00000012
