CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.07451279  Best=0.07451279 BestError=0.06425745  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00036490  Best=0.00036490 BestError=0.00035849  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00236094  Best=0.00036490 BestError=0.00035849  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00112707  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   9  Id=   3  Generation= 10  Age=  6  Evolution= 2  Weight=0.00070167  Old Result= 0.00007796  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   7.5  Run Time=  40.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   8  Id=   0  Generation= 10  Age=  2  Evolution= 2  Weight=0.00065412  Old Result= 0.00007268  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.5  Run Time=  40.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  12  Id=   3  Generation= 11  Age=  7  Evolution= 2  Weight=0.00077963  Old Result= 0.00007796  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   3.4  Run Time=  42.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  13  Id=   0  Generation= 12  Age=  4  Evolution= 2  Weight=0.00079947  Old Result= 0.00007268  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   4.2  Run Time=  42.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  15  Id=  14  Generation=  4  Age=  2  Evolution= 2  Weight=0.00085981  Old Result= 0.00028660  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   4.1  Run Time=  42.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   1  Id=   3  Generation= 14  Age=  2  Evolution= 3  Weight=0.00021386  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.4  Run Time=  45.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   3  Generation= 15  Age=  3  Evolution= 3  Weight=0.00023031  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.5  Run Time=  45.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   7  Id=   3  Generation= 20  Age=  8  Evolution= 3  Weight=0.00031257  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.5  Run Time=  45.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   3  Generation= 18  Age=  6  Evolution= 3  Weight=0.00027966  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.7  Run Time=  45.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   3  Generation= 17  Age=  5  Evolution= 3  Weight=0.00026321  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.7  Run Time=  45.5
