CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.45582074  Best=0.45582074 BestError=0.47709805  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.45582074 BestError=0.47709805  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00396626  Best=0.00396626 BestError=0.00440867  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00198424  Best=0.00198424 BestError=0.00293820  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  10  Id=  16  Generation=  9  Age=  9  Evolution= 1  Weight=0.00157180  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   1.8  Run Time=  40.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   9  Id=   8  Generation= 10  Age=  3  Evolution= 2  Weight=0.00152917  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   5.0  Run Time=  41.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  11  Id=   8  Generation= 11  Age=  4  Evolution= 2  Weight=0.00169908  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   3.2  Run Time=  41.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   8  Id=  16  Generation=  8  Age=  8  Evolution= 1  Weight=0.00137532  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   3.8  Run Time=  42.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  12  Id=  16  Generation= 10  Age= 10  Evolution= 1  Weight=0.00176827  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   3.8  Run Time=  42.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   6  Generation=  3  Age=  3  Evolution= 1  Weight=0.00229740  Old Result= 0.00114870  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.5  Run Time=  44.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   3  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00198424  Old Result= 0.00198424  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.5  Run Time=  44.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   2  Id=  17  Generation=  3  Age=  3  Evolution= 1  Weight=0.00168628  Old Result= 0.00084314  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.4  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   4  Id=   8  Generation= 13  Age=  6  Evolution= 2  Weight=0.00203889  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.7  Run Time=  45.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  15  Id=  12  Generation=  4  Age=  4  Evolution= 1  Weight=0.00265002  Old Result= 0.00088334  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.6  Run Time=  47.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  10  Id=  14  Generation=  6  Age=  3  Evolution= 2  Weight=0.00236363  Old Result= 0.00047273  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.7  Run Time=  47.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01412238  Best=0.00016991 BestError=0.00055082  Time=   6.8  Run Time=  49.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=  16  Generation= 12  Age= 12  Evolution= 1  Weight=0.00216122  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   7.2  Run Time=  49.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   6  Id=   8  Generation= 14  Age=  7  Evolution= 2  Weight=0.00220880  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   7.2  Run Time=  49.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=  17  Generation=  2  Age=  2  Evolution= 1  Weight=0.00084314  Old Result= 0.00084314 *New Result=0.00013243  Best=0.00013243 BestError=0.00008015  Time=   7.3  Run Time=  49.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  11  Id=   8  Generation= 15  Age=  8  Evolution= 2  Weight=0.00237871  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   6.1  Run Time=  51.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   8  Id=   3  Generation=  5  Age=  5  Evolution= 1  Weight=0.00233705  Old Result= 0.00058426  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   1.8  Run Time=  51.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  12  Id=  17  Generation=  4  Age=  4  Evolution= 1  Weight=0.00252942  Old Result= 0.00084314  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   6.0  Run Time=  51.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  13  Id=   8  Generation= 16  Age=  9  Evolution= 2  Weight=0.00254862  Old Result= 0.00016991 >New Result=0.00016728  Best=0.00013243 BestError=0.00008015  Time=   3.7  Run Time=  53.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  14  Id=  16  Generation= 14  Age= 14  Evolution= 1  Weight=0.00255417  Old Result= 0.00019647 >New Result=0.00014773  Best=0.00013243 BestError=0.00008015  Time=   3.6  Run Time=  53.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   9  Id=  16  Generation= 13  Age= 13  Evolution= 1  Weight=0.00235769  Old Result= 0.00019647 >New Result=0.00018576  Best=0.00013243 BestError=0.00008015  Time=   3.6  Run Time=  53.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=  17  Generation=  6  Age=  2  Evolution= 2  Weight=0.00066216  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.4  Run Time=  56.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   4  Id=  17  Generation=  9  Age=  5  Evolution= 2  Weight=0.00105945  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.5  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=  17  Generation= 12  Age=  8  Evolution= 2  Weight=0.00145675  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.6  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   6  Id=  17  Generation= 11  Age=  7  Evolution= 2  Weight=0.00132432  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.6  Run Time=  56.4
