variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  61  Best=0.03725624  Result=0.03725624  Seed=C0A949A8  ResultHash=5CA0  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  62  Best=0.03725624  Result=0.03725624  Seed=C0A949A9  ResultHash=5CA0  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  63  Best=0.03725624  Result=0.03725624  Seed=C0A949AA  ResultHash=5CA0  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  64  Best=0.03725624  Result=0.03725624  Seed=C0A949AB  ResultHash=5CA0  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  65  Best=0.03725624  Result=0.03725624  Seed=C0A949AC  ResultHash=5CA0  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  66  Best=0.03725624  Result=0.03725624  Seed=C0A949AD  ResultHash=5CA0  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  67  Best=0.03258449  Result=0.03258449  Seed=C0A949AE  ResultHash=8AC6  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  68  Best=0.03258449  Result=0.03258449  Seed=C0A949AF  ResultHash=8AC6  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  69  Best=0.03258449  Result=0.03258449  Seed=C0A949B0  ResultHash=8AC6  ProgramHash=04E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  70  Best=0.02726436  Result=0.02726436  Seed=C0A949B1  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  71  Best=0.02726436  Result=0.02726436  Seed=C0A949B2  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  72  Best=0.02726436  Result=0.02726436  Seed=C0A949B3  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  73  Best=0.02726436  Result=0.02726436  Seed=C0A949B4  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  74  Best=0.02726436  Result=0.02726436  Seed=C0A949B5  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  75  Best=0.02726436  Result=0.02726436  Seed=C0A949B6  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  76  Best=0.02726436  Result=0.02726436  Seed=C0A949B7  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  77  Best=0.02726436  Result=0.02726436  Seed=C0A949B8  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  78  Best=0.02726436  Result=0.02726436  Seed=C0A949B9  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  79  Best=0.02726436  Result=0.02726436  Seed=C0A949BA  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  80  Best=0.02726436  Result=0.02726436  Seed=C0A949BB  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  81  Best=0.02726436  Result=0.02726436  Seed=C0A949BC  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  82  Best=0.02726436  Result=0.02726436  Seed=C0A949BD  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  83  Best=0.02726436  Result=0.02726436  Seed=C0A949BE  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  84  Best=0.02726436  Result=0.02726436  Seed=C0A949BF  ResultHash=B325  ProgramHash=C4A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  85  Best=0.02726436  Result=0.02726436  Seed=C0A949C0  ResultHash=B325  ProgramHash=C4A5
