CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 1
units = 8
processes = 8
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=1  Result=0.85227418  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4302 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=2  Evolution=2  Result=0.00001012  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0001 Seconds  Run Time=751.0736 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=2  Evolution=2  Result=0.00017071  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=751.0762 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=0  Evolution=2 *Result=0.00000393  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0004 Seconds  Run Time=751.0817 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=0  Evolution=2  Result=0.00038970  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0846 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=0  Evolution=2  Result=0.00079197  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0868 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=0  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0887 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=0  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0906 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=7  Age=0  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0926 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=3  Result=0.00000754  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0001 Seconds  Run Time=757.4187 Seconds  TestError=0.00000030
