CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=27  Age=22  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0988 Seconds  Run Time=11.9943 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=28  Age=23  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0989 Seconds  Run Time=12.0933 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=29  Age=0 *Result=0.00000525  Best=0.00000525  BestGen=29  Time=0.2942 Seconds  Run Time=12.3874 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=30  Age=0 *Result=0.00000453  Best=0.00000453  BestGen=30  Time=0.2992 Seconds  Run Time=12.6867 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=31  Age=0 *Result=0.00000358  Best=0.00000358  BestGen=31  Time=0.2989 Seconds  Run Time=12.9855 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=32  Age=0 *Result=0.00000250  Best=0.00000250  BestGen=32  Time=0.2987 Seconds  Run Time=13.2843 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=33  Age=1  Result=0.00000250  Best=0.00000250  BestGen=32  Time=0.1010 Seconds  Run Time=13.3852 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=34  Age=2  Result=0.00000250  Best=0.00000250  BestGen=32  Time=0.1012 Seconds  Run Time=13.4864 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=35  Age=3  Result=0.00000250  Best=0.00000250  BestGen=32  Time=0.0986 Seconds  Run Time=13.5850 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=36  Age=4  Result=0.00000250  Best=0.00000250  BestGen=32  Time=0.0985 Seconds  Run Time=13.6835 Seconds  TestError=0.00000030
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=37  Age=0 *Result=0.00000238  Best=0.00000238  BestGen=37  Time=0.2935 Seconds  Run Time=13.9770 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=38  Age=0 *Result=0.00000226  Best=0.00000226  BestGen=38  Time=0.2988 Seconds  Run Time=14.2758 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=39  Age=0 *Result=0.00000167  Best=0.00000167  BestGen=39  Time=0.2994 Seconds  Run Time=14.5752 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=40  Age=0 *Result=0.00000155  Best=0.00000155  BestGen=40  Time=0.2983 Seconds  Run Time=14.8735 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=41  Age=0 *Result=0.00000107  Best=0.00000107  BestGen=41  Time=0.2982 Seconds  Run Time=15.1717 Seconds  TestError=0.00000042
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=42  Age=0 *Result=0.00000098  Best=0.00000098  BestGen=42  Time=0.2982 Seconds  Run Time=15.4699 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=43  Age=1  Result=0.00000098  Best=0.00000098  BestGen=42  Time=0.1035 Seconds  Run Time=15.5735 Seconds  TestError=0.00000009
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=44  Age=0 *Result=0.00000083  Best=0.00000083  BestGen=44  Time=0.2932 Seconds  Run Time=15.8667 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=45  Age=0 *Result=0.00000077  Best=0.00000077  BestGen=45  Time=0.2982 Seconds  Run Time=16.1649 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=46  Age=0 *Result=0.00000072  Best=0.00000072  BestGen=46  Time=0.2985 Seconds  Run Time=16.4634 Seconds  TestError=0.00000083
