CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Generation: 181  Best Generation: 180  Result=0.00000060  Seed=     181  ResultHash=F870  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 182  Best Generation: 180  Result=0.00000060  Seed=     182  ResultHash=9D0C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 183  Best Generation: 180  Result=0.00000060  Seed=     183  ResultHash=F11A  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 184  Best Generation: 180  Result=0.00000060  Seed=     184  ResultHash=34BE  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 185  Best Generation: 180  Result=0.00000060  Seed=     185  ResultHash=090A  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 186  Best Generation: 180  Result=0.00000060  Seed=     186  ResultHash=E415  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 187  Best Generation: 180  Result=0.00000060  Seed=     187  ResultHash=F590  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 188  Best Generation: 180  Result=0.00000060  Seed=     188  ResultHash=ADAB  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 189  Best Generation: 180  Result=0.00000060  Seed=     189  ResultHash=114E  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 190  Best Generation: 180  Result=0.00000060  Seed=     190  ResultHash=BAB3  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 191  Best Generation: 180  Result=0.00000060  Seed=     191  ResultHash=210F  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 192  Best Generation: 180  Result=0.00000060  Seed=     192  ResultHash=5F3C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 193  Best Generation: 180  Result=0.00000060  Seed=     193  ResultHash=6DDC  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 194  Best Generation: 180  Result=0.00000060  Seed=     194  ResultHash=BFB7  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 195  Best Generation: 180  Result=0.00000060  Seed=     195  ResultHash=2D3F  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 196  Best Generation: 180  Result=0.00000060  Seed=     196  ResultHash=26DF  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 197  Best Generation: 180  Result=0.00000060  Seed=     197  ResultHash=64D8  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 198  Best Generation: 180  Result=0.00000060  Seed=     198  ResultHash=92E7  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 199  Best Generation: 180  Result=0.00000060  Seed=     199  ResultHash=6983  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 200  Best Generation: 180  Result=0.00000060  Seed=     200  ResultHash=4489  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 201  Best Generation: 180  Result=0.00000060  Seed=     201  ResultHash=E792  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 202  Best Generation: 180  Result=0.00000060  Seed=     202  ResultHash=B90E  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 203  Best Generation: 203  Result=0.00000054  Seed=     203  ResultHash=2FD1  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 204  Best Generation: 203  Result=0.00000054  Seed=     204  ResultHash=745C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 205  Best Generation: 203  Result=0.00000054  Seed=     205  ResultHash=2762  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 206  Best Generation: 203  Result=0.00000054  Seed=     206  ResultHash=9257  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 207  Best Generation: 203  Result=0.00000054  Seed=     207  ResultHash=256C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 208  Best Generation: 203  Result=0.00000054  Seed=     208  ResultHash=C57D  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 209  Best Generation: 203  Result=0.00000054  Seed=     209  ResultHash=8D7D  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 210  Best Generation: 203  Result=0.00000054  Seed=     210  ResultHash=52C2  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 211  Best Generation: 203  Result=0.00000054  Seed=     211  ResultHash=2109  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 212  Best Generation: 203  Result=0.00000054  Seed=     212  ResultHash=89CE  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 213  Best Generation: 203  Result=0.00000054  Seed=     213  ResultHash=80A7  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 214  Best Generation: 203  Result=0.00000054  Seed=     214  ResultHash=CBC8  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 215  Best Generation: 203  Result=0.00000054  Seed=     215  ResultHash=B657  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 216  Best Generation: 203  Result=0.00000054  Seed=     216  ResultHash=F119  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 217  Best Generation: 203  Result=0.00000054  Seed=     217  ResultHash=30EF  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 218  Best Generation: 203  Result=0.00000054  Seed=     218  ResultHash=A69B  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 219  Best Generation: 203  Result=0.00000054  Seed=     219  ResultHash=68A7  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 220  Best Generation: 203  Result=0.00000054  Seed=     220  ResultHash=D9B9  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 221  Best Generation: 203  Result=0.00000054  Seed=     221  ResultHash=5198  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 222  Best Generation: 203  Result=0.00000054  Seed=     222  ResultHash=1C29  ProgramHash=5F34
