CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 1
units = 8
processes = 8
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=2  Result=0.00043190  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3886 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=1  Result=0.00083548  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3903 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=1  Result=0.00213838  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3922 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=1  Result=0.03509599  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3941 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=1  Result=0.85227418  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3960 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=2 *Result=0.00000936  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0004 Seconds  Run Time=733.4177 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=2  Result=0.00018156  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4207 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=2  Result=0.00032812  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4226 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=2  Result=0.00043190  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4246 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=1  Result=0.00083548  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4264 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=1  Result=0.00213838  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4284 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=1  Result=0.03509599  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4308 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=5  Age=0  Evolution=1  Result=0.85227418  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4332 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=3  Result=0.00001550  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4159 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=2  Result=0.00017333  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4179 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=2  Result=0.00031471  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4200 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=2  Result=0.00039136  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4221 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=2  Result=0.00082076  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4240 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=1  Result=0.00137839  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4261 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=1  Result=0.02689373  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4286 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=6  Age=1  Evolution=1  Result=0.85227418  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4304 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=2  Evolution=3  Result=0.00001550  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0001 Seconds  Run Time=751.0740 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=2  Evolution=2  Result=0.00017333  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=751.0765 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=0  Evolution=2  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0001 Seconds  Run Time=751.0828 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=0  Evolution=2  Result=0.00039136  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0849 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=0  Evolution=2  Result=0.00082076  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0870 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=0  Evolution=1  Result=0.00137839  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0890 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=0  Evolution=1  Result=0.02689373  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0909 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=7  Age=0  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=751.0929 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=3  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4189 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=2  Result=0.00009584  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4212 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=2  Result=0.00024593  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4233 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=2  Result=0.00038827  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4255 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=2  Result=0.00079197  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4275 Seconds  TestError=0.00000030
