CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021137  Best=0.00021137 BestError=0.00087534  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00033587  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  14  Id=   7  Generation=  5  Age=  3  Evolution= 2  Weight=0.00072098  Old Result= 0.00018024  Bad Result=10.00000000  Best=0.00006521 BestError=0.00003883  Time=   5.0  Run Time=  35.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  13  Id=  12  Generation= 12  Age= 12  Evolution= 1  Weight=0.00071728  Old Result= 0.00006521 *New Result=0.00005434  Best=0.00005434 BestError=0.00004444  Time=   6.2  Run Time=  36.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   8  Id=   9  Generation=  9  Age=  4  Evolution= 2  Weight=0.00060690  Old Result= 0.00007586  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.4  Run Time=  37.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  12  Id=   0  Generation=  6  Age=  4  Evolution= 2  Weight=0.00070333  Old Result= 0.00014067  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.0  Run Time=  37.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   9  Id=   3  Generation=  4  Age=  4  Evolution= 1  Weight=0.00063410  Old Result= 0.00021137  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.4  Run Time=  37.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   1  Id=  12  Generation= 14  Age=  2  Evolution= 2  Weight=0.00070644  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.5  Run Time=  40.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=   7  Generation=  6  Age=  4  Evolution= 2  Weight=0.00090122  Old Result= 0.00018024  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.5  Run Time=  40.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   2  Id=  12  Generation= 15  Age=  3  Evolution= 2  Weight=0.00076079  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.6  Run Time=  40.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=  12  Generation= 17  Age=  5  Evolution= 2  Weight=0.00086947  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.7  Run Time=  40.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=  12  Generation= 16  Age=  4  Evolution= 2  Weight=0.00081513  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   4.6  Run Time=  42.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   3  Generation=  5  Age=  5  Evolution= 1  Weight=0.00084547  Old Result= 0.00021137  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   5.2  Run Time=  43.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  14  Id=  12  Generation= 20  Age=  8  Evolution= 2  Weight=0.00103250  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.5  Run Time=  43.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   9  Id=  12  Generation= 18  Age=  6  Evolution= 2  Weight=0.00092381  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.8  Run Time=  43.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   4  Id=   9  Generation= 12  Age=  7  Evolution= 2  Weight=0.00083449  Old Result= 0.00007586  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   6.9  Run Time=  45.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00231162  Best=0.00005434 BestError=0.00004444  Time=   7.1  Run Time=  45.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  13  Id=   9  Generation= 14  Age=  9  Evolution= 2  Weight=0.00098621  Old Result= 0.00007586  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.0  Run Time=  45.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  11  Id=  12  Generation= 19  Age=  7  Evolution= 2  Weight=0.00097815  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   3.7  Run Time=  46.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  15  Id=   3  Generation=  6  Age=  6  Evolution= 1  Weight=0.00105684  Old Result= 0.00021137 >New Result=0.00014333  Best=0.00005434 BestError=0.00004444  Time=   6.0  Run Time=  46.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  10  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00095320  Old Result= 0.00095320 >New Result=0.00030339  Best=0.00005434 BestError=0.00004444  Time=   5.9  Run Time=  47.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  12  Id=   0  Generation=  8  Age=  2  Evolution= 3  Weight=0.00097966  Old Result= 0.00013995 >New Result=0.00013153  Best=0.00005434 BestError=0.00004444  Time=   3.0  Run Time=  48.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   8  Id=   9  Generation= 13  Age=  8  Evolution= 2  Weight=0.00091035  Old Result= 0.00007586 >New Result=0.00006687  Best=0.00005434 BestError=0.00004444  Time=   2.8  Run Time=  48.3
