CUDA devices = 2
Device 0: NVIDIA GeForce RTX 5090
Device 1: NVIDIA GeForce RTX 5090

variations = 1
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.04459662  Best=0.04459662 BestError=0.00702983  Time=   1.2  Run Time=   1.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00011020  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00133680  Best=0.00011020 BestError=0.00004570  Time=   1.2  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.30758688  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04087594  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=   8  Generation= 37  Age= 37  Evolution= 1  Weight=0.00013518  Old Result= 0.00000376  Bad Result=0.00136581  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  10.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=  14  Generation=  6  Age=  3  Evolution= 2  Weight=0.00007140  Old Result= 0.00001428  Bad Result=0.00001937  Best=0.00000376 BestError=0.00002700  Time=   1.0  Run Time=  12.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=  14  Generation=  5  Age=  2  Evolution= 2  Weight=0.00005712  Old Result= 0.00001428 >New Result=0.00000394  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=  12.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00088727  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  12.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=  14  Generation=  7  Age=  4  Evolution= 2  Weight=0.00008568  Old Result= 0.00001428  Bad Result=0.00016737  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  12.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=  14  Generation=  9  Age=  6  Evolution= 2  Weight=0.00011424  Old Result= 0.00001428 >New Result=0.00000729  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  12.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   8  Generation= 39  Age= 39  Evolution= 1  Weight=0.00014269  Old Result= 0.00000376  Bad Result=0.00030327  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  12.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=  14  Generation= 10  Age=  7  Evolution= 2  Weight=0.00012852  Old Result= 0.00001428  Bad Result=0.00012017  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  12.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=  14  Generation=  8  Age=  5  Evolution= 2  Weight=0.00009996  Old Result= 0.00001428  Bad Result=0.00008678  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  12.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   8  Generation= 40  Age= 40  Evolution= 1  Weight=0.00014645  Old Result= 0.00000376  Bad Result=0.00025108  Best=0.00000376 BestError=0.00002700  Time=   0.7  Run Time=  13.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=   8  Generation= 41  Age= 41  Evolution= 1  Weight=0.00015020  Old Result= 0.00000376  Bad Result=0.00017798  Best=0.00000376 BestError=0.00002700  Time=   0.7  Run Time=  13.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=  14  Generation= 11  Age=  8  Evolution= 2  Weight=0.00014280  Old Result= 0.00001428  Bad Result=0.00127482  Best=0.00000376 BestError=0.00002700  Time=   1.0  Run Time=  13.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=   8  Generation= 42  Age= 42  Evolution= 1  Weight=0.00015396  Old Result= 0.00000376  Bad Result=0.00003913  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=  13.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=   8  Generation= 43  Age= 43  Evolution= 1  Weight=0.00015771  Old Result= 0.00000376  Bad Result=0.00006449  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=  13.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=  10  Generation=  6  Age=  6  Evolution= 1  Weight=0.00016227  Old Result= 0.00003245  Bad Result=0.00011593  Best=0.00000376 BestError=0.00002700  Time=   1.0  Run Time=  13.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=  14  Generation= 12  Age=  9  Evolution= 2  Weight=0.00015708  Old Result= 0.00001428  Bad Result=0.00001995  Best=0.00000376 BestError=0.00002700  Time=   1.0  Run Time=  13.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=   8  Generation= 44  Age= 44  Evolution= 1  Weight=0.00016147  Old Result= 0.00000376  Bad Result=0.00076857  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=  13.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=  14  Generation= 17  Age=  5  Evolution= 3  Weight=0.00006310  Old Result= 0.00000394  Bad Result=0.00135249  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  15.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=  14  Generation= 18  Age=  6  Evolution= 3  Weight=0.00006704  Old Result= 0.00000394  Bad Result=0.00002579  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  15.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  20  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00042657  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  15.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=  14  Generation= 15  Age=  3  Evolution= 3  Weight=0.00005521  Old Result= 0.00000394  Bad Result=0.00002490  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  15.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=  14  Generation= 16  Age=  4  Evolution= 3  Weight=0.00005916  Old Result= 0.00000394  Bad Result=0.00540919  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  15.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=  14  Generation= 14  Age=  2  Evolution= 3  Weight=0.00005127  Old Result= 0.00000394  Bad Result=0.00014821  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  15.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=  14  Generation= 19  Age=  7  Evolution= 3  Weight=0.00007099  Old Result= 0.00000394  Bad Result=0.00000867  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  15.3
