instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.08713059  Result=0.08713059  Best=0.08713059  Seed=C0A9496F  ResultHash=264A  ProgramHash=63AC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.02424562  Result=0.02428710  Best=0.02424562  Seed=C0A949AB  ResultHash=399E  ProgramHash=43E4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.02424562  Result=0.02451706  Best=0.02424562  Seed=C0A949B0  ResultHash=168C  ProgramHash=BC0C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.02424562  Result=0.02512980  Best=0.02424562  Seed=C0A949B5  ResultHash=F483  ProgramHash=D0FB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.02424562  Result=0.02507246  Best=0.02424562  Seed=C0A949BA  ResultHash=35EE  ProgramHash=1E61
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.02424562  Result=0.02512980  Best=0.02424562  Seed=C0A949BF  ResultHash=6533  ProgramHash=1EE3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.02424562  Result=0.02435887  Best=0.02424562  Seed=C0A949C4  ResultHash=74C6  ProgramHash=BD91
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.02248254  Result=0.02248254  Best=0.02248254  Seed=C0A949C9  ResultHash=6EF8  ProgramHash=7D99
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.02187514  Result=0.02187514  Best=0.02187514  Seed=C0A949CE  ResultHash=5CBF  ProgramHash=4475
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.01921367  Result=0.01921367  Best=0.01921367  Seed=C0A949D3  ResultHash=7722  ProgramHash=10FD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.01834631  Result=0.01834631  Best=0.01834631  Seed=C0A949D8  ResultHash=1CC5  ProgramHash=2D07
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.01536363  Result=0.01536363  Best=0.01536363  Seed=C0A949DD  ResultHash=0925  ProgramHash=69FD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.01536363  Result=0.01814020  Best=0.01536363  Seed=C0A949E2  ResultHash=0756  ProgramHash=9798
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.01536363  Result=0.01814413  Best=0.01536363  Seed=C0A949E7  ResultHash=0151  ProgramHash=584A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.01536363  Result=0.01559632  Best=0.01536363  Seed=C0A949EC  ResultHash=8A3B  ProgramHash=F699
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.01501696  Result=0.01501696  Best=0.01501696  Seed=C0A949F1  ResultHash=DA38  ProgramHash=084A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.01501696  Result=0.01509780  Best=0.01501696  Seed=C0A949F6  ResultHash=EDE1  ProgramHash=39C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.01501696  Result=0.01509780  Best=0.01501696  Seed=C0A949FB  ResultHash=4020  ProgramHash=1348
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.01474261  Result=0.01474261  Best=0.01474261  Seed=C0A94A00  ResultHash=C041  ProgramHash=5A85
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.01372576  Result=0.01372576  Best=0.01372576  Seed=C0A94A05  ResultHash=58F4  ProgramHash=28CD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.01166910  Result=0.01166910  Best=0.01166910  Seed=C0A94A0A  ResultHash=34F7  ProgramHash=28CD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A0F  ResultHash=A24A  ProgramHash=04C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A14  ResultHash=A24A  ProgramHash=E114
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A19  ResultHash=D608  ProgramHash=4047
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A1E  ResultHash=9EB4  ProgramHash=6824
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A23  ResultHash=92C3  ProgramHash=87FC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A28  ResultHash=92C3  ProgramHash=00EA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A2D  ResultHash=92C3  ProgramHash=0EBF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A32  ResultHash=5F56  ProgramHash=4362
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A37  ResultHash=32D8  ProgramHash=1349
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A3C  ResultHash=FF30  ProgramHash=2351
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A41  ResultHash=8BD2  ProgramHash=71FA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A46  ResultHash=8BD2  ProgramHash=B473
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A4B  ResultHash=8BD2  ProgramHash=4935
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A50  ResultHash=076A  ProgramHash=B5C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A55  ResultHash=EDC6  ProgramHash=A362
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A5A  ResultHash=F5D5  ProgramHash=98BD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A5F  ResultHash=71BB  ProgramHash=475D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A64  ResultHash=71BB  ProgramHash=1832
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A69  ResultHash=71BB  ProgramHash=98A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A6E  ResultHash=3F07  ProgramHash=FF12
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A73  ResultHash=D3F8  ProgramHash=FF12
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A78  ResultHash=D3F8  ProgramHash=7384
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A7D  ResultHash=AE3E  ProgramHash=6926
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A82  ResultHash=B05D  ProgramHash=C8E2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A87  ResultHash=895E  ProgramHash=FEF2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A8C  ResultHash=D570  ProgramHash=0141
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A91  ResultHash=D570  ProgramHash=0141
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.01166910  Result=0.01171631  Best=0.01166910  Seed=C0A94A96  ResultHash=C3B9  ProgramHash=CBB2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.01159273  Result=0.01159273  Best=0.01159273  Seed=C0A94A9B  ResultHash=334E  ProgramHash=8411
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94AA0  ResultHash=1F27  ProgramHash=EE2E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94AA5  ResultHash=1F27  ProgramHash=0E2A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94AAA  ResultHash=FEAE  ProgramHash=A3AD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94AAF  ResultHash=BB89  ProgramHash=D4C1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94AB4  ResultHash=2F3D  ProgramHash=BDC5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94AB9  ResultHash=43C0  ProgramHash=FFF3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.01159273  Result=0.01171631  Best=0.01159273  Seed=C0A94ABE  ResultHash=EAE6  ProgramHash=E3BB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.01120913  Result=0.01120913  Best=0.01120913  Seed=C0A94AC3  ResultHash=4464  ProgramHash=7FBD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.01120913  Result=0.01143342  Best=0.01120913  Seed=C0A94AC8  ResultHash=F9C8  ProgramHash=71DE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.01120913  Result=0.01122618  Best=0.01120913  Seed=C0A94ACD  ResultHash=71F9  ProgramHash=3420
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.01057804  Result=0.01057804  Best=0.01057804  Seed=C0A94AD2  ResultHash=BF4D  ProgramHash=E1FF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.01057804  Result=0.01094136  Best=0.01057804  Seed=C0A94AD7  ResultHash=1417  ProgramHash=6563
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.00880666  Result=0.00880666  Best=0.00880666  Seed=C0A94ADC  ResultHash=D4D3  ProgramHash=C7EC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.00864136  Result=0.00864136  Best=0.00864136  Seed=C0A94AE1  ResultHash=5BE7  ProgramHash=0BC4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.00864136  Result=0.00869077  Best=0.00864136  Seed=C0A94AE6  ResultHash=691D  ProgramHash=1476
