instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00074098  Result=0.00074098  Best=0.00074098  Seed=C0A94AFA  ResultHash=4922  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00073850  Result=0.00073850  Best=0.00073850  Seed=C0A94B5E  ResultHash=EDE4  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00072968  Result=0.00072968  Best=0.00072968  Seed=C0A94BC2  ResultHash=B8A7  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00072646  Result=0.00072646  Best=0.00072646  Seed=C0A94C26  ResultHash=FB86  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00072646  Result=0.00072789  Best=0.00072646  Seed=C0A94C8A  ResultHash=5186  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00071049  Result=0.00071049  Best=0.00071049  Seed=C0A94CEE  ResultHash=8B50  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00070775  Result=0.00070775  Best=0.00070775  Seed=C0A94D52  ResultHash=BDEB  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00070441  Result=0.00070441  Best=0.00070441  Seed=C0A94DB6  ResultHash=13C9  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00069818  Result=0.00069818  Best=0.00069818  Seed=C0A94E1A  ResultHash=659D  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00069818  Result=0.00070322  Best=0.00069818  Seed=C0A94E7E  ResultHash=8DF6  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00069818  Result=0.00070092  Best=0.00069818  Seed=C0A94EE2  ResultHash=338D  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00069818  Result=0.00070024  Best=0.00069818  Seed=C0A94F46  ResultHash=5047  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00069818  Result=0.00070125  Best=0.00069818  Seed=C0A94FAA  ResultHash=6B04  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00069818  Result=0.00069842  Best=0.00069818  Seed=C0A9500E  ResultHash=BCD2  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00065687  Result=0.00065687  Best=0.00065687  Seed=C0A95072  ResultHash=C22F  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00064361  Result=0.00064361  Best=0.00064361  Seed=C0A950D6  ResultHash=6313  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00063422  Result=0.00063422  Best=0.00063422  Seed=C0A9513A  ResultHash=F2D1  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00063193  Result=0.00063193  Best=0.00063193  Seed=C0A9519E  ResultHash=1305  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00062776  Result=0.00062776  Best=0.00062776  Seed=C0A95202  ResultHash=BE57  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00062740  Result=0.00062740  Best=0.00062740  Seed=C0A95266  ResultHash=CB3B  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00062740  Result=0.00062752  Best=0.00062740  Seed=C0A952CA  ResultHash=883E  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00062683  Result=0.00062683  Best=0.00062683  Seed=C0A9532E  ResultHash=C367  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00062644  Result=0.00062644  Best=0.00062644  Seed=C0A95392  ResultHash=112A  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00062644  Result=0.00062644  Best=0.00062644  Seed=C0A953F6  ResultHash=CBAD  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.00062644  Result=0.00062788  Best=0.00062644  Seed=C0A9545A  ResultHash=9DDE  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00062644  Result=0.00062773  Best=0.00062644  Seed=C0A954BE  ResultHash=F95E  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00062597  Result=0.00062597  Best=0.00062597  Seed=C0A95522  ResultHash=8BDF  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00062597  Result=0.00062674  Best=0.00062597  Seed=C0A95586  ResultHash=14CB  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00062597  Result=0.00062683  Best=0.00062597  Seed=C0A955EA  ResultHash=C2BB  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00062546  Result=0.00062546  Best=0.00062546  Seed=C0A9564E  ResultHash=5A49  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00062546  Result=0.00062740  Best=0.00062546  Seed=C0A956B2  ResultHash=56B2  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00062546  Result=0.00062728  Best=0.00062546  Seed=C0A95716  ResultHash=43A5  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00062546  Result=0.00062680  Best=0.00062546  Seed=C0A9577A  ResultHash=1B05  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00062546  Result=0.00062755  Best=0.00062546  Seed=C0A957DE  ResultHash=1092  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00062546  Result=0.00062776  Best=0.00062546  Seed=C0A95842  ResultHash=24BE  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00062492  Result=0.00062492  Best=0.00062492  Seed=C0A958A6  ResultHash=4AB9  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00062492  Result=0.00062713  Best=0.00062492  Seed=C0A9590A  ResultHash=5D12  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00062478  Result=0.00062478  Best=0.00062478  Seed=C0A9596E  ResultHash=6B27  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00062478  Result=0.00062615  Best=0.00062478  Seed=C0A959D2  ResultHash=7AFD  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00062478  Result=0.00062644  Best=0.00062478  Seed=C0A95A36  ResultHash=A197  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00062478  Result=0.00062728  Best=0.00062478  Seed=C0A95A9A  ResultHash=5B42  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00062478  Result=0.00062731  Best=0.00062478  Seed=C0A95AFE  ResultHash=6A3A  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00062478  Result=0.00062490  Best=0.00062478  Seed=C0A95B62  ResultHash=5B72  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00062478  Result=0.00062561  Best=0.00062478  Seed=C0A95BC6  ResultHash=B745  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00062478  Result=0.00062847  Best=0.00062478  Seed=C0A95C2A  ResultHash=208F  ProgramHash=1187
