CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00739241  Best=0.00739241 BestError=0.00605810  Time=   7.4  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00739241 BestError=0.00605810  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00005990  Best=0.00005990 BestError=0.00009436  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00067213  Best=0.00005990 BestError=0.00009436  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   3  Id=   4  Generation= 28  Age=  4  Evolution= 3  Weight=0.00054717  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.9  Run Time=  36.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   7  Id=   4  Generation= 32  Age=  8  Evolution= 3  Weight=0.00062823  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   4.9  Run Time=  38.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   6  Id=   4  Generation= 31  Age=  7  Evolution= 3  Weight=0.00060797  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   5.0  Run Time=  38.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   9  Id=   4  Generation= 34  Age= 10  Evolution= 3  Weight=0.00066876  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.5  Run Time=  39.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  12  Id=   4  Generation= 37  Age= 13  Evolution= 3  Weight=0.00072956  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.4  Run Time=  39.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  13  Id=  13  Generation=  2  Age=  2  Evolution= 1  Weight=0.00074847  Old Result= 0.00074847  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.7  Run Time=  39.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  11  Id=   4  Generation= 36  Age= 12  Evolution= 3  Weight=0.00070930  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.5  Run Time=  39.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00103281  Best=0.00002027 BestError=0.00006329  Time=   6.4  Run Time=  40.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  10  Id=   4  Generation= 35  Age= 11  Evolution= 3  Weight=0.00068903  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   3.9  Run Time=  40.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  15  Id=   4  Generation= 39  Age= 15  Evolution= 3  Weight=0.00077009  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   1.3  Run Time=  40.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  14  Id=   4  Generation= 38  Age= 14  Evolution= 3  Weight=0.00074983  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   1.2  Run Time=  40.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   8  Id=   4  Generation= 33  Age=  9  Evolution= 3  Weight=0.00064850  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   0.3  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=  12  Generation=  3  Age=  3  Evolution= 1  Weight=0.00077868  Old Result= 0.00038934  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.3  Run Time=  43.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   4  Generation= 40  Age= 16  Evolution= 3  Weight=0.00079036  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.6  Run Time=  43.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   5  Id=   4  Generation= 43  Age= 19  Evolution= 3  Weight=0.00085115  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.6  Run Time=  43.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   3  Id=   4  Generation= 41  Age= 17  Evolution= 3  Weight=0.00081062  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   5.0  Run Time=  46.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   6  Id=   4  Generation= 44  Age= 20  Evolution= 3  Weight=0.00087142  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   5.0  Run Time=  46.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   4  Generation= 42  Age= 18  Evolution= 3  Weight=0.00083089  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   5.2  Run Time=  46.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   7  Id=  10  Generation=  4  Age=  4  Evolution= 1  Weight=0.00088262  Old Result= 0.00029421  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   7.6  Run Time=  48.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  10  Id=   4  Generation= 46  Age= 22  Evolution= 3  Weight=0.00091195  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   4.9  Run Time=  48.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.57968783  Best=0.00002027 BestError=0.00006329  Time=   7.9  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  11  Id=   4  Generation= 47  Age= 23  Evolution= 3  Weight=0.00093222  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.6  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  13  Id=   4  Generation= 48  Age= 24  Evolution= 3  Weight=0.00095248  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   5.0  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  14  Id=   4  Generation= 49  Age= 25  Evolution= 3  Weight=0.00097275  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.5  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   9  Id=   5  Generation=  5  Age=  5  Evolution= 1  Weight=0.00089916  Old Result= 0.00022479  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   6.6  Run Time=  50.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   8  Id=   4  Generation= 45  Age= 21  Evolution= 3  Weight=0.00089169  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   1.2  Run Time=  50.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  15  Id=   4  Generation= 50  Age= 26  Evolution= 3  Weight=0.00099301  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.0  Run Time=  50.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  12  Id=   3  Generation=  4  Age=  2  Evolution= 2  Weight=0.00094902  Old Result= 0.00031634  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   4.4  Run Time=  50.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   3  Id=   4  Generation= 52  Age= 28  Evolution= 3  Weight=0.00103354  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.2  Run Time=  53.4
